,Name,Rating,Followers,Online,Peak,id
0,Mount & Blade II: Bannerlord,86.16%,"737,826","19,020","248,216",261550
1,Red Dead Redemption 2,85.26%,"411,394","22,752","55,271",1174180
2,Kingdom Come: Deliverance,80.72%,"348,754","2,959","96,069",379430
3,METAL GEAR SOLID V: THE PHANTOM PAIN,89.06%,"241,122","2,190","91,195",287700
4,Planet Zoo,88.07%,"240,062","4,964","38,630",703080
5,Mount & Blade: Warband,96.34%,"167,423","6,078","33,054",48700
6,Farm Together,91.61%,"62,516","1,328","3,671",673950
7,Red Dead Online,81.10%,"42,583","4,219","19,921",1404210
8,Mount & Blade: With Fire & Sword,85.26%,"32,850",275,"9,315",48720
9,Depraved,63.04%,"24,184",10,723,762650
10,Rustler,74.01%,"22,227",5,225,844260
12,Pony Island,92.71%,"17,716",14,374,405640
13,Animallica,72.16%,"16,914",32,126,638850
14,Them's Fightin' Herds,88.45%,"15,501",32,"1,436",574980
15,DEEEER Simulator: Your Average Everyday Deer Game,85.15%,"13,749",50,222,1018800
16,HROT,92.69%,"8,708",16,258,824600
17,Calico,86.70%,"8,404",11,399,1112890
19,Badiya: Desert Survival,52.85%,"5,909",0,38,545050
20,Rival Stars Horse Racing: Desktop Edition,83.83%,"5,497",153,489,1166860
21,Tales Of Glory,79.13%,"5,312",13,47,636970
23,Sellswords: Ashen Company,66.11%,"2,806",0,16,1037570
24,Capsa,55.65%,"2,756",0,32,588120
25,Sexy Tails And Other Puzzlingly Attractive Furry Things,78.86%,"2,624",1,40,1567080
26,Wildlife Park 2,67.02%,"2,445",4,214,304350
27,Rustler: Prologue,73.34%,"2,005",0,94,1232710
29,Morels: The Hunt,77.41%,"1,644",0,19,1156590
30,Knights of Light: The Prologue,27.52%,"1,605",0,9,1159700
31,Riding Out,45.21%,"1,568",1,64,461210
33,Riding Club Championships,69.89%,"1,446",21,200,509420
35,Farm World,39.24%,"1,238",0,7,338350
37,Zoo 2: Animal Park,76.94%,"1,150",159,343,1352330
39,Secret of the Magic Crystals,79.16%,"1,138",3,256,45100
41,Ostwind/Windstorm,64.75%,"1,017",3,66,649810
42,Wildlife Park 2 - Crazy Zoo,65.17%,946,0,17,306480
43,Starters Orders 6 Horse Racing,71.77%,925,5,77,460230
44,Gachimuchi,61.84%,845,0,6,740600
45,Horse Riding Deluxe,63.46%,835,0,9,783860
46,Horse Riding Tales,58.12%,802,15,72,1048830
47,Pony World 3,66.04%,798,1,27,364940
48,Wildlife Park Gold Reloaded,33.02%,765,1,10,664120
49,Winning Post 9 2021,72.09%,756,"1,227","3,794",1418870
50,My Riding Stables: Life with Horses,79.57%,654,11,50,276340
51,Wildlife Park - Wild Creatures,60.55%,596,0,8,337970
52,Starters Orders 7 Horse Racing,62.67%,551,25,95,978960
53,Horse Farm,53.76%,542,8,110,821670
54,Windstorm / Ostwind - Ari's Arrival,62.96%,507,1,18,899200
56,Wildlife Park 2 - Horses,68.01%,483,0,31,307770
57,Horse Riding Deluxe 2,61.38%,459,0,7,1265690
58,Winning Post 9 2020,57.31%,437,157,"1,441",1173550
59,Winning Post 9,38.60%,377,31,"1,698",939700
61,Petz® Horsez® 2,66.26%,330,4,24,15160
62,Horse Paradise - My Dream Ranch,63.58%,279,1,10,764240
63,Riding Star - Horse Championship!,61.44%,265,2,14,276360
64,EquiMagic - Galashow of Horses,64.07%,256,0,4,664250
65,The Vagabond Emperor,74.19%,231,0,8,1546770
66,My Little Riding Champion,50.99%,226,1,12,789900
67,GACHIMUCHI M♂NLY PUZZLE,73.45%,219,0,5,981550
68,Horse Club Adventures,78.11%,217,6,39,1518820
69,Animal Doctor,36.12%,216,0,18,1033930
70,Winning Post / ウイニングポスト,68.15%,204,6,16,628180
71,KOMMERSANT,71.55%,191,0,3,778870
72,Horse Racing 2016,37.79%,186,0,3,655610
73,Coloring Book for Kids,79.83%,180,4,18,1507410
74,Knight Swap,81.07%,177,0,8,1145410
75,My Riding Stables: Your Horse breeding,42.18%,176,0,6,938390
76,DreamWorks Spirit Lucky's Big Adventure,69.44%,165,0,10,1270720
77,Horse World,59.00%,156,1,9,806830
78,My Riding Stables: Your Horse world,52.70%,156,0,8,276300
79,VideoHole: Episode I,81.66%,147,0,4,1258790
80,Wanted in Hell,-,146,0,67,781790
81,Gallantry,72.42%,145,0,3,1566360
82,ppL: The Animated Adventures,78.20%,134,0,42,1586840
84,"Eat, Sleep, Bet, Repeat",60.54%,129,0,8,671840
85,Glory Horse Racing,47.89%,125,0,5,1273180
86,The Unicorn Princess,57.82%,125,0,8,970940
87,Wound of the West,70.84%,118,0,3,1450880
89,Knight Swap 2,80.07%,110,0,4,1201800
90,Starters Orders Classic Horse Racing,63.21%,102,3,14,1236530
92,Chess Knights: High Noon,75.41%,97,0,7,1486800
93,Chesstle,59.60%,96,0,5,1401620
94,Rectifying Zion,-,94,0,2,939610
95,Hiking Simulator 2017,49.42%,90,0,4,668890
96,Blood Knot,55.69%,83,0,1,1456710
97,My Strong Horse,68.80%,81,0,2,1295670
98,Höll Space 5D6,50.00%,70,0,4,1572470
