,Name,Rating,Followers,Online,Peak,id
0,Team Fortress 2,93.06%,"1,231,269","77,049","151,253",440
1,Tom Clancy's Rainbow Six® Siege,87.10%,"1,132,965","67,298","201,053",359550
2,Paladins®,85.03%,"331,896","7,376","60,743",444090
3,Call of Duty®: Black Ops III,75.71%,"260,757","2,531","63,681",311210
4,Apex Legends™,88.13%,"230,406","241,280","330,879",1172470
5,Dirty Bomb®,80.02%,"176,207",164,"13,113",333930
7,Titanfall® 2,94.05%,"90,111","3,751","27,631",1237970
8,CRSED: F.O.A.D.,79.36%,"77,886",874,"12,266",884660
9,Battleborn,60.95%,"76,523",0,"12,101",394230
10,Gears 5,65.99%,"67,402",352,"10,196",1097840
11,Call of Duty®: Infinite Warfare,49.63%,"60,073",190,"15,417",292730
12,Quake Champions,71.30%,"59,235",640,"17,476",611500
13,Gigantic,73.77%,"45,426",0,"8,303",327690
14,Crucible Beta,43.38%,"32,238",1,"25,145",1057240
16,Modern Combat Versus,63.45%,"25,454",70,"1,123",723780
17,Plants vs. Zombies: Battle for Neighborville™,68.40%,"24,586",217,"1,263",1262240
18,SUPERHOT VR,73.94%,"23,066",86,839,617830
19,Eximius: Seize the Frontline,70.58%,"17,362",1,318,505740
20,Bleeding Edge,66.05%,"13,946",2,"1,464",1189800
21,TheDawn,89.74%,"13,658",26,221,1475380
23,Rogue Company,70.00%,"8,983","2,814","12,189",872200
24,Clash: Mutants Vs Pirates,60.98%,"8,244",0,44,822710
25,Team Fortress Classic,83.02%,"7,731",30,"1,897",20
26,Rocket Arena,60.12%,"5,698",5,"1,136",1233550
27,Struggle Offensive,63.79%,"5,613",0,22,1403280
28,Titanfall­™,36.92%,"4,503",24,266,1454890
29,Monday Night Combat,74.58%,"4,312",0,"7,981",63200
31,TinShift,76.65%,"3,694",0,35,1288430
32,AXYOS,52.50%,"3,485",1,"2,243",318100
33,3D Aim Trainer,77.20%,"3,025",130,366,1600530
35,Agents: Biohunters,39.02%,"2,781",0,211,765800
36,BE-A Walker,72.24%,"2,339",1,143,864160
38,6 Seasons and a Game,83.75%,"2,236",0,128,1460830
39,Resident Evil Re:Verse Beta,33.55%,"1,998",1,"1,383",1541760
40,Gridiron,80.95%,"1,673",4,792,708720
41,Sky Link,75.23%,"1,584",0,90,882150
42,J15 Jet Fighter VR (歼15舰载机),50.86%,"1,497",0,5,880200
43,Ghostship Chronicles,60.55%,"1,427",1,14,925010
45,Trianga's Project: Battle Splash 2.0,79.21%,"1,301",0,6,756600
46,Heroic Armored Company,62.10%,"1,276",2,13,1388370
47,Grapple Tournament,84.34%,"1,042",0,32,1384320
48,Bloodlines of Prima,50.00%,980,0,13,686090
49,The DRG Initiative,57.26%,925,0,24,613580
50,OTTTD,71.75%,853,0,133,312630
51,Fossilfuel,64.07%,813,1,8,1597040
52,Drifters Loot the Galaxy,58.40%,794,0,168,1385460
54,Fabula Mortis,43.48%,779,0,112,320790
55,Horror Legends,73.66%,745,0,15,965640
56,Brimstone Brawlers - Early Access,81.52%,725,0,35,780270
58,Megalith,61.90%,678,0,15,898390
59,Bankrupt Heroines,82.28%,647,1,12,1376830
60,G.I. Joe: Operation Blackout,55.32%,568,1,9,1432220
61,Blaston,84.85%,542,2,21,1427890
62,Larcenauts,62.43%,513,6,42,421190
63,Agent Roswell,77.30%,465,0,5,931320
64,Cold Comfort,-,435,0,6,683190
65,HIVE: Altenum Wars,66.59%,432,0,573,468330
66,Vektor Wars,65.17%,416,0,7,365760
68,Orange Cast: Prologue,45.87%,393,0,15,1489880
70,Radio Viscera,64.35%,341,0,10,1303480
71,Inheritors2078,60.28%,317,0,6,1417320
72,BORIS RUSSIAN BEAR,79.35%,313,0,7,1599250
73,Outburst,74.03%,313,0,87,669710
74,Projekt Z,-,312,0,1,763310
76,Grunt1914,60.17%,307,0,10,1059040
78,Random Heroes: Gold Edition,65.29%,282,0,10,1233350
79,Geadows,73.59%,265,0,139,1611710
80,The Otterman Empire,65.93%,265,0,5,1016940
81,Witch The Bloodlines,34.43%,244,0,4,925690
84,Drone Wars,79.52%,238,0,53,1155580
85,Combots,76.96%,227,22,77,1657810
86,Project Hive,63.43%,218,0,15,1454100
87,Hijacker Jack,56.29%,214,0,20,1422730
88,Helicopter Simulator 2020,-,206,0,1,1288040
89,Boom Blaster,60.10%,200,0,6,1246230
90,Rescue Operation,77.51%,198,0,8,1593490
91,Cyberforge: First Light,65.86%,189,0,7,1437980
92,Walking Girl: Dead Parking,51.55%,185,0,13,1409000
94,ATTACK OF THE EVIL POOP,78.21%,171,0,4,1093670
95,Headbangers in Holiday Hell,78.44%,158,0,6,1296700
96,Spectral Ascension,67.93%,148,0,8,1652780
97,SOS: SPECIAL OPERATIVE STORIES,70.57%,135,0,3,501410
98,Moon Bullet,59.00%,124,0,3,749830
