,Name,Rating,Followers,Online,Peak,id
0,Path of Exile,89.90%,"241,945","31,690","157,103",238960
1,DEATH STRANDING,91.89%,"202,696","1,098","32,515",1190460
2,PC Building Simulator,92.46%,"156,187",504,"3,884",621060
3,EVERSPACE™ 2,87.32%,"81,519",285,"3,072",1128920
4,Darkwood,91.95%,"79,010",87,"1,051",274520
5,Dead Frontier 2,69.91%,"68,291",503,"10,101",744900
6,S.T.A.L.K.E.R.: Shadow of Chernobyl,93.60%,"45,861",315,"1,669",4500
7,Resident Evil 4,88.06%,"44,619",601,"2,447",254700
8,Deus Ex: Human Revolution - Director's Cut,90.05%,"43,042",285,"3,392",238010
9,Folk Tale,41.06%,"41,340",1,536,224440
10,S.T.A.L.K.E.R.: Clear Sky,85.63%,"40,477",185,889,20510
11,MEMORIES OF MARS,60.71%,"38,829",19,593,644290
12,Drug Dealer Simulator,84.61%,"38,362",231,"7,574",682990
13,"Yes, Your Grace",82.16%,"33,373",64,"3,337",1115690
14,NEO Scavenger,87.10%,"32,621",44,531,248860
15,Wayward,81.08%,"28,182",32,140,379210
16,Hammerting,71.12%,"24,690",132,"1,456",760650
18,Farm Manager 2021,72.67%,"21,118",138,"3,227",1123830
19,Frozen State,62.71%,"20,260",0,120,270270
20,Contraband Police,-,"20,193",0,1,756800
21,Farm Manager 2018,69.28%,"19,125",73,"3,940",495560
22,Daymare: 1998,71.12%,"18,282",12,345,842100
23,Black Desert (Retired),64.93%,"18,240",37,"14,584",836620
24,HighFleet,83.09%,"17,830",775,"1,709",1434950
25,Travellers Rest,87.87%,"16,965",83,684,1139980
26,System Shock 2,91.16%,"16,931",65,"2,395",238210
27,Phantom Brigade,-,"16,811",0,4,553540
28,Lost Ruins,84.57%,"16,283",36,847,1306630
29,Stoneshard: Prologue,84.33%,"15,370",3,735,869760
30,Barn Finders,80.51%,"15,056",49,"3,069",991170
31,Fury Unleashed,87.08%,"15,044",16,305,465200
32,Legends of Eisenwald,73.32%,"14,967",10,872,246760
33,Ancient Space,46.02%,"14,916",0,283,249190
34,GRAVEN,65.65%,"14,845",5,639,1371690
35,Gunsmith,75.55%,"14,187",27,513,620190
36,Two Worlds II HD,61.08%,"14,113",42,"7,911",7520
39,Arid,80.50%,"12,357",80,402,1463730
40,Plane Mechanic Simulator,65.55%,"11,992",3,813,803980
42,Haydee 2,86.66%,"10,751",8,326,1444650
43,City of Gangsters,64.70%,"10,697",389,"1,184",1386780
44,Farm Manager 2021: Prologue,73.11%,"10,410",4,748,1415410
45,Deus Ex: Game of the Year Edition,92.17%,"10,030",83,"1,102",6910
48,Space Mechanic Simulator,-,"8,523",0,1,429380
49,Prison Simulator Prologue,86.46%,"8,412",39,"1,016",1431610
50,The Coma 2: Vicious Sisters,91.64%,"7,987",3,261,1045720
51,Contraband Police: Prologue,84.71%,"7,549",66,446,1396240
52,Car Trader Simulator,73.09%,"7,237",6,465,689980
53,Eternal Edge +,64.99%,"7,180",0,61,896440
54,Ring of Pain,88.33%,"6,564",45,"1,280",998740
57,SCP: Labrat,85.95%,"6,162",30,155,1402020
58,Arx Fatalis,82.87%,"6,033",21,93,1700
59,Gladiator Guild Manager: Prologue,89.95%,"6,005",7,385,1332470
61,Black Legend,61.47%,"5,799",1,180,1094730
63,303 Squadron: Battle of Britain,57.62%,"5,514",3,49,675170
64,Phoenotopia: Awakening,83.53%,"5,373",22,327,1436590
66,Medieval Shopkeeper Simulator,62.33%,"5,331",0,24,677450
67,SimCasino,79.22%,"5,327",17,189,1158420
69,Mosaique Neko Waifus 3,89.88%,"5,234",8,141,1385730
70,cyubeVR,81.56%,"5,103",19,34,619500
71,King of Retail,88.77%,"5,039",336,951,968250
73,The Rule of Land: Pioneers,71.58%,"4,793",1,313,1248800
74,Vivid Knight,87.04%,"4,769",43,"1,749",1569090
75,Mosaique Neko Waifus 4,89.44%,"4,703",13,715,1504020
76,Remains,70.67%,"4,218",0,21,1309820
80,Fantasy Blacksmith,51.03%,"3,850",15,273,959520
81,Alien Shooter 2 - The Legend,50.71%,"3,663",10,218,1007400
82,Cyber Crush 2069,73.01%,"3,600",6,343,1379830
83,Space Flex,53.32%,"3,561",0,3,1616300
86,MidBoss,78.96%,"3,459",1,97,561740
87,Factory Engineer,46.91%,"3,383",1,50,514290
88,Tunche: Arena,80.89%,"3,352",0,67,906200
91,Plasticalypse - Submarine Adventures,56.05%,"3,111",0,3,1252480
92,ANIME STANDING,83.79%,"3,027",3,38,1253870
93,Tiny Rails,70.19%,"2,950",10,153,614630
94,Don't Be Afraid,81.40%,"2,868",0,74,760410
95,Vantage: Primitive Survival Game,53.66%,"2,841",0,13,342910
96,Dark Bestiary,85.70%,"2,832",7,228,1020730
97,School Owner,35.68%,"2,806",0,24,946670
98,Car Mechanic Simulator VR,68.41%,"2,791",14,59,1088770
