,Name,Rating,Followers,Online,Peak,id
0,PAYDAY 2,87.79%,"7,544,201","30,423","247,709",218620
1,Grand Theft Auto V,82.79%,"2,336,535","83,048","364,548",271590
2,Watch_Dogs® 2,81.33%,"296,713",269,"18,138",447040
3,HITMAN™,80.89%,"195,303",194,"51,650",236870
4,Mafia III: Definitive Edition,54.85%,"184,243",449,"47,822",360430
5,PAYDAY™ The Heist,91.45%,"143,029",40,"50,316",24240
6,UNO,71.84%,"121,038",452,"5,639",470220
7,Grand Theft Auto IV: The Complete Edition,73.84%,"102,784","2,089","11,696",12210
8,Thief Simulator,83.67%,"92,697",305,"2,697",704850
9,Mafia: Definitive Edition,85.51%,"91,551",295,"36,679",1030840
10,Sleeping Dogs: Definitive Edition,90.22%,"88,415",455,"4,035",307690
11,Grand Theft Auto: San Andreas,89.97%,"88,386","1,555","3,387",12120
12,Mafia II (Classic),93.26%,"78,420",132,"29,474",50130
13,Yakuza 0,92.61%,"77,091","1,198","8,985",638970
14,Hacknet,91.21%,"69,426",408,"127,640",365450
15,Saints Row: The Third,94.33%,"67,941",354,"34,371",55230
16,Empire of Sin,46.13%,"61,858",127,"9,229",604540
17,Sherlock Holmes: The Devil's Daughter,77.30%,"59,836",94,"2,968",350640
18,This Is the Police,80.74%,"58,291",47,"3,093",443810
19,APB Reloaded,63.15%,"56,954",266,"11,813",113400
20,Hitman: Absolution™,89.38%,"55,610",140,"26,137",203140
21,Police Stories,83.12%,"52,257",51,666,539470
22,Yakuza: Like a Dragon,94.07%,"47,742",613,"9,535",1235140
23,NBA 2K19,39.68%,"47,316",221,"29,202",841370
24,Sherlock Holmes: Crimes and Punishments,87.77%,"46,931",71,889,241260
25,911 Operator,86.49%,"45,743",83,"1,955",503560
26,Phoenix Wright: Ace Attorney Trilogy,94.79%,"45,052",393,"3,611",787480
27,Yakuza Kiwami,90.46%,"41,452",386,"3,474",834530
28,L.A. Noire,83.71%,"40,033",235,"5,115",110800
29,Drug Dealer Simulator,84.61%,"38,362",231,"7,574",682990
30,Party Hard,85.75%,"36,228",42,840,356570
32,Police Simulator: Patrol Officers,82.95%,"33,797",323,"3,330",997010
33,Sub Rosa,77.09%,"33,438",81,283,272230
34,"Flashing Lights - Police, Firefighting, Emergency Services Simulator",81.99%,"32,966",173,727,605740
35,Murdered: Soul Suspect,83.08%,"32,905",35,"1,645",233290
36,A Way Out,87.71%,"32,633",562,"2,131",1222700
37,Yakuza Kiwami 2,92.63%,"31,385",373,"3,229",927380
38,Late Shift,84.47%,"30,845",20,395,584980
39,This Is the Police 2,72.97%,"30,212",36,"3,451",785740
40,Police Simulator: Patrol Duty,51.86%,"28,765",22,"1,163",461870
41,Grand Theft Auto: Vice City,90.59%,"27,825",509,"1,239",12110
42,Her Story,87.00%,"25,505",7,663,368370
43,Beat Cop,80.12%,"25,407",12,526,461950
44,Basement,69.33%,"23,736",14,329,340150
45,RIOT: Civil Unrest,67.01%,"23,654",8,776,342310
46,Rustler,74.06%,"22,222",4,225,844260
47,Cyber Manhunt,91.07%,"22,046",57,"2,807",1216710
48,PAYDAY: The Web Series,86.43%,"21,026",0,57,354500
49,Cartel Tycoon,74.91%,"20,363",93,"1,599",1220140
50,Grand Theft Auto 2,84.90%,"19,798",1,73,12180
51,Heavy Rain,80.15%,"18,874",43,747,960910
52,Grand Theft Auto: Episodes from Liberty City,72.35%,"18,873",0,"3,013",12220
53,Blacksad: Under the Skin,81.03%,"18,849",24,264,1003890
54,American Fugitive,71.20%,"18,006",8,920,934780
55,Peaky Blinders: Mastermind,73.11%,"17,874",4,252,1013310
56,Saints Row 2,76.00%,"17,864",88,"6,509",9480
57,Sleeping Dogs,92.07%,"17,224",30,"12,134",202170
58,Telling Lies,65.56%,"16,354",4,687,762830
59,We. The Revolution,76.13%,"16,160",10,822,736850
60,Monaco: What's Yours Is Mine,88.10%,"15,917",17,"41,750",113020
61,Grand Theft Auto III,84.26%,"14,509",186,640,12100
63,Mafia,87.47%,"12,591",50,464,40990
64,LEGO® City Undercover,82.36%,"12,511",259,833,578330
65,Weedcraft Inc,78.38%,"11,814",12,"1,609",622720
66,Yakuza 6: The Song of Life,89.23%,"11,543",167,"1,635",1388590
67,The Masterplan,61.43%,"11,270",0,163,313080
68,Need for Speed™ Hot Pursuit Remastered,75.66%,"11,241",113,983,1328660
69,Hitman: Blood Money,91.28%,"11,222",64,"1,138",6860
71,City of Gangsters,64.70%,"10,697",394,"1,184",1386780
73,Turnip Boy Commits Tax Evasion,91.13%,"10,414",19,341,1205450
74,Antihero,83.00%,"10,380",1,333,505640
75,Grand Theft Auto,78.91%,"10,010",1,123,12170
76,Thief Simulator VR,65.53%,"9,962",11,90,1019550
77,Lara Croft GO,88.19%,"9,853",8,397,540840
78,Mafia II: Definitive Edition,66.97%,"9,657",222,"6,162",1030830
80,Contradiction - Spot The Liar!,91.36%,"9,189",2,70,373390
81,Max Payne 2: The Fall of Max Payne,91.21%,"9,038",43,189,12150
82,Max Payne,87.22%,"8,906",66,727,12140
84,Prison Simulator Prologue,86.46%,"8,412",39,"1,016",1431610
85,Enforcer: Police Crime Action,47.74%,"8,219",0,"2,231",318220
86,Paradise Killer,90.11%,"8,105",36,291,1160220
87,L.A. Noire: The VR Case Files,54.83%,"7,719",4,115,722230
88,Condemned: Criminal Origins,82.31%,"7,177",3,371,4720
89,Hitman: Contracts,82.41%,"7,097",5,175,247430
90,Landlord's Super,84.82%,"6,939",27,430,1127840
91,Narcos: Rise of the Cartels,50.85%,"6,823",6,148,914110
92,G-senjou no Maou - The Devil on G-String,86.99%,"6,759",5,46,377670
93,Retro City Rampage™ DX,84.58%,"6,725",1,"1,035",204630
94,Kane & Lynch 2: Dog Days,60.46%,"6,659",9,289,28000
95,Chicken Police - Paint it RED!,90.84%,"6,545",4,164,1084640
96,The Swindle,61.58%,"6,429",3,187,369110
97,The Detail,69.55%,"6,142",0,60,319970
98,Jenny LeClue - Detectivu,83.88%,"6,033",7,105,319870
99,Counter Terrorist Agency,51.41%,"6,028",0,226,936490
