,Name,Rating,Followers,Online,Peak,id
0,Cyberpunk 2077,75.05%,"1,177,161","8,299","1,054,388",1091500
1,Rust,85.93%,"856,565","106,807","245,243",252490
2,The Witcher® 3: Wild Hunt,97.05%,"786,023","14,714","103,329",292030
3,Fall Guys: Ultimate Knockout,82.27%,"615,530","11,836","172,213",1097150
4,NieR:Automata™,81.83%,"449,074",769,"23,908",524220
5,Far Cry® 5,78.14%,"374,607","9,298","92,445",552520
6,Kingdom Come: Deliverance,80.72%,"348,750","2,402","96,069",379430
7,SCUM,72.18%,"294,185","10,238","68,322",513710
8,Assassin's Creed® Odyssey,87.59%,"277,672","3,016","62,069",812140
9,Conan Exiles,77.48%,"277,541","9,448","53,402",440900
10,HITMAN™ 2,89.37%,"231,772","1,523","361,001",863550
11,SMITE®,79.66%,"230,829","16,999","31,169",386360
12,Devil May Cry 5,92.69%,"218,904",531,"88,894",601150
13,Friday the 13th: The Game,77.50%,"207,391",916,"16,096",438740
14,HITMAN™,80.89%,"195,303",213,"51,650",236870
15,Mafia III: Definitive Edition,54.85%,"184,243",535,"47,822",360430
16,Crusader Kings III,91.87%,"178,033","13,179","98,872",1158310
17,Subverse,80.55%,"174,461",57,"25,318",1034140
18,TEKKEN 7,81.66%,"166,853","3,743","18,966",389730
19,Outlast 2,88.52%,"165,571",187,"5,966",414700
20,GreedFall,77.26%,"162,378",331,"16,345",606880
21,Borderlands 3,82.52%,"148,669","7,497","93,820",397540
22,Vampyr,74.29%,"146,859",171,"16,120",427290
23,Sword Art Online: Fatal Bullet,77.83%,"145,791",119,"21,727",626690
24,Nioh: Complete Edition / 仁王 Complete Edition,79.08%,"144,514",393,"10,649",485510
25,Vampire: The Masquerade® - Bloodlines™ 2,-,"144,041",0,10,532790
26,Bright Memory,89.92%,"130,715",23,"1,907",955050
27,Far Cry 3,88.81%,"128,538",648,"23,065",220240
28,Dawn of Man,84.96%,"127,454",835,"23,864",858810
29,Mirror,95.43%,"126,433",272,"7,565",644560
30,Resident Evil Village,93.64%,"119,425","1,356","106,631",1196590
31,JUMP FORCE,71.10%,"118,753",313,"9,885",816020
32,Pillars of Eternity II: Deadfire,85.08%,"117,078",913,"22,724",560130
33,Wolfenstein II: The New Colossus,77.05%,"114,146",485,"16,141",612880
34,FaceRig,80.11%,"113,112",948,"3,554",274920
35,Tales of Berseria™,90.11%,"111,791",281,"8,085",429660
36,Bless Online,38.43%,"111,351",0,"34,392",681660
37,NieR Replicant™ ver.1.22474487139...,83.86%,"108,420",506,"28,684",1113560
38,South Park™: The Stick of Truth™,95.69%,"108,056",234,"34,811",213670
39,Pathfinder: Kingmaker - Enhanced Plus Edition,77.24%,"107,172","2,719","22,643",640820
40,Street Fighter V,61.72%,"105,435","2,011","14,783",310950
41,Sword Art Online: Hollow Realization Deluxe Edition,79.04%,"105,291",46,"3,254",607890
42,DRAGON BALL Z: KAKAROT,90.86%,"104,226","1,382","25,852",851850
43,Bayonetta,89.65%,"102,934",103,"4,194",460790
44,SpellForce 3,72.41%,"102,877",149,"8,932",311290
45,Subsistence,72.03%,"101,296",476,"1,376",418030
46,South Park™: The Fractured But Whole™,78.54%,"100,505",235,"21,609",488790
47,Bloodstained: Ritual of the Night,93.35%,"98,360",478,"26,934",692850
48,House Party,86.30%,"97,572",241,"1,074",611790
49,Ryse: Son of Rome,83.77%,"96,693",95,"3,257",302510
50,嗜血印 Bloody Spell,84.51%,"94,857",33,"4,256",992300
51,Outlast,94.60%,"94,352",298,"11,827",238320
52,Mass Effect™ Legendary Edition,89.46%,"92,897","6,377","59,817",1328670
53,The Sims™ 3,84.08%,"91,359","2,268","10,505",47890
54,The Witcher 2: Assassins of Kings Enhanced Edition,88.87%,"89,250",760,"12,884",20920
55,She Will Punish Them,90.23%,"86,348",606,"15,711",1213740
56,RPG Maker MV,88.46%,"86,315",865,"2,486",363890
57,NEKOPARA Vol. 1,93.39%,"83,447",76,487,333600
58,Atelier Ryza: Ever Darkness & the Secret Hideout,84.43%,"83,098",41,"4,616",1121560
59,Game of Thrones - A Telltale Games Series,74.51%,"81,296",11,"6,771",330840
60,Mafia II (Classic),93.26%,"78,420",218,"29,474",50130
61,Sniper Ghost Warrior 3,63.59%,"78,220",319,"4,086",368070
62,Exanima,79.90%,"78,046",92,838,362490
63,Metro: Last Light Redux,86.54%,"75,688",298,"2,819",287390
64,Mist Survival,78.81%,"74,985",164,"3,136",914620
65,Life is Strange 2,82.88%,"74,964",280,"468,717",532210
66,The Technomancer,67.77%,"74,178",12,"2,366",338390
67,Tree of Savior (English Ver.),63.74%,"73,470","1,012","53,554",372000
68,GOD EATER 2 Rage Burst,75.74%,"73,068",25,"1,491",438490
69,AI＊Shoujo/AI＊少女,74.01%,"72,519",48,599,1250650
70,Call of Duty®: Modern Warfare® Remastered,61.31%,"70,885",53,"1,409",393080
71,Muse Dash,90.71%,"67,153",435,"6,087",774171
73,SOULCALIBUR VI,79.34%,"64,911",458,"14,684",544750
74,VR Kanojo / VRカノジョ,74.47%,"64,162",7,66,751440
75,Everlasting Summer,93.96%,"63,263",933,"1,823",331470
76,LIGHTNING RETURNS™: FINAL FANTASY® XIII,77.39%,"62,637",57,"2,503",345350
77,Phantasy Star Online 2 New Genesis,74.58%,"62,085","3,792","59,558",1056640
78,SENRAN KAGURA ESTIVAL VERSUS,91.42%,"61,014",23,"1,088",502800
79,The Witcher: Enhanced Edition Director's Cut,87.63%,"59,198",739,"12,685",20900
80,コイカツ！ / Koikatsu Party,89.76%,"58,935",198,367,1073440
81,This Is the Police,80.74%,"58,291",64,"3,093",443810
82,Attack on Titan / A.O.T. Wings of Freedom,81.82%,"58,234",13,"2,191",449800
