,Name,Rating,Followers,Online,Peak,id
0,Counter-Strike,96.24%,"180,360","9,232","319,586",10
1,Command & Conquer™ Remastered Collection,89.10%,"91,422",828,"42,587",1213210
2,Hotline Miami 2: Wrong Number,91.21%,"74,917",262,"18,950",274170
3,Crash Bandicoot™ N. Sane Trilogy,90.31%,"66,939",180,"3,755",731490
4,Mr. Prepper,80.00%,"57,622",146,"6,911",761830
5,Sven Co-op,90.85%,"51,196",503,"6,572",225840
6,FINAL FANTASY VII,90.79%,"48,606",366,"6,424",39140
7,Punch Club,77.96%,"42,048",50,"4,305",394310
8,Grim Fandango Remastered,87.39%,"38,865",23,"1,500",316790
9,DUSK,95.32%,"35,966",126,551,519860
10,Half-Life,94.88%,"35,281",655,"6,022",70
11,FINAL FANTASY VIII,86.16%,"31,635",140,"4,470",39150
12,Hot Lava,90.00%,"30,941",37,"1,030",382560
13,Journey To The Savage Planet,83.54%,"29,909",32,"2,162",973810
14,Thimbleweed Park™,89.96%,"25,517",9,"2,733",569860
15,King's Quest,85.55%,"25,186",23,721,345390
16,Basement,69.33%,"23,736",13,329,340150
17,Ion Fury,87.71%,"22,401",27,"1,471",562860
18,FINAL FANTASY VI (Old ver.),78.57%,"20,733",59,577,382900
19,Day of the Tentacle Remastered,93.09%,"19,621",19,"1,097",388210
20,Half-Life: Source,72.67%,"19,590",54,629,280
21,Mega Man Legacy Collection,81.85%,"19,543",22,484,363440
22,Fallout: A Post Nuclear Role Playing Game,90.64%,"18,877",317,"8,130",38400
23,Legend of Mana,75.88%,"18,774",46,"1,479",1175830
24,SEGA Mega Drive and Genesis Classics,83.07%,"17,856",157,"4,522",34270
25,Worms Armageddon,91.28%,"17,772",309,834,217200
26,Mr. Prepper: Prologue,81.54%,"17,568",11,"1,089",1340530
27,Duke Nukem 3D: 20th Anniversary World Tour,80.10%,"17,180",24,329,434050
28,AMID EVIL,92.51%,"16,887",30,352,673130
29,Deponia Doomsday,83.24%,"16,667",24,"2,644",421050
30,Final Fantasy IV (3D Remake),81.19%,"15,715",99,667,312750
31,Turok,89.95%,"15,660",22,357,405820
32,Brigador: Up-Armored Edition,91.61%,"15,645",33,616,274500
33,WRATH: Aeon of Ruin,83.78%,"14,576",13,275,1000410
34,Gone Home,75.37%,"14,345",4,"1,198",232430
35,Capcom Arcade Stadium,36.88%,"14,040",14,642,1515950
36,Empire TV Tycoon,73.70%,"13,493",0,296,377900
37,Thunder Tier One,-,"12,854",0,5,377300
38,STRAFE: Gold Edition,70.51%,"11,967",13,"1,126",442780
39,FINAL FANTASY V (Old ver.),73.77%,"11,664",39,683,382890
40,Quake III Arena,91.07%,"11,466",33,113,2200
41,Truberbrook / Trüberbrook,68.87%,"11,405",9,316,757300
42,Battlezone 98 Redux,86.25%,"11,370",14,304,301650
43,Hellbound: Survival Mode,83.50%,"11,208",2,136,802200
44,System Shock: Enhanced Edition,86.20%,"11,169",18,570,410710
45,God's Trigger,71.67%,"11,108",4,178,488730
46,Deponia,85.97%,"10,773",31,"1,257",214340
47,Ultimate Doom,93.31%,"10,598",115,242,2280
49,Mega Man X Legacy Collection,72.55%,"10,466",32,990,743890
50,Full Throttle Remastered,88.29%,"10,094",8,422,228360
51,Turok 2: Seeds of Evil,88.42%,"10,059",17,894,405830
52,Grand Theft Auto,78.91%,"10,010",1,123,12170
53,The Hong Kong Massacre,73.03%,"9,691",0,263,741510
54,Pinball FX3,84.58%,"9,633",186,835,442120
55,VirtuaVerse,80.15%,"9,613",8,264,1019310
56,Virginia,64.11%,"9,284",2,240,374030
57,Capcom Beat 'Em Up Bundle,82.11%,"9,026",7,156,885150
58,Total Annihilation,91.59%,"8,983",99,608,298030
59,The Suicide of Rachel Foster,70.46%,"8,910",18,365,1057750
60,Unreal Tournament: Game of the Year Edition,92.80%,"8,888",44,147,13240
61,Hellbound,68.52%,"8,882",8,127,753590
62,Hypnospace Outlaw,93.10%,"8,569",40,307,844590
63,Mega Man Legacy Collection 2,82.56%,"8,177",15,184,495050
64,QUAKE,92.02%,"8,065",31,118,2310
65,Armikrog,55.16%,"8,060",2,"1,202",334120
66,Touhou Mystia's Izakaya,92.93%,"7,848",18,664,1584090
67,The Darkside Detective,90.60%,"7,837",12,230,368390
68,Team Fortress Classic,83.02%,"7,730",80,"1,897",20
69,The Disney Afternoon Collection,83.12%,"7,679",2,174,525040
71,Half-Life: Opposing Force,92.48%,"7,545",102,620,50
72,DOOM II,91.26%,"7,440",59,141,2300
73,Tattletail,87.97%,"7,434",16,155,568090
74,Blood: Fresh Supply™,91.58%,"7,266",63,592,1010750
75,The Secret of Monkey Island: Special Edition,91.72%,"7,149",55,746,32360
76,QUAKE II,88.41%,"6,956",37,131,2320
77,The Dark Eye: Memoria,85.43%,"6,842",5,860,243200
78,X-COM: UFO Defense,90.42%,"6,739",53,653,7760
79,NewCity,76.95%,"6,654",6,92,1067860
80,Romancing SaGa 3™,74.82%,"6,653",29,"1,336",952540
81,Gabriel Knight: Sins of the Fathers 20th Anniversary Edition,84.42%,"6,605",3,356,262000
82,Horizon Chase Turbo,89.87%,"6,469",25,226,389140
83,The Curse of Monkey Island,92.21%,"6,231",28,374,730820
84,The Longest Journey,86.87%,"6,222",9,362,6310
85,The Silver Case,80.03%,"6,207",9,83,476650
86,Might & Magic X - Legacy,63.74%,"6,179",23,"7,975",238750
87,"I Have No Mouth, and I Must Scream",84.16%,"6,084",5,185,245390
88,9 Monkeys of Shaolin,82.16%,"6,082",0,160,739080
89,Half-Life: Blue Shift,88.48%,"6,079",50,420,130
90,DOOM 64,90.88%,"6,032",65,"1,257",1148590
91,Unlucky Seven,50.00%,"5,958",0,39,579120
92,Sonic Adventure DX,86.58%,"5,731",151,332,71250
93,Retrowave,92.89%,"5,673",17,638,1239690
94,Unreal Gold,85.46%,"5,536",13,"2,607",13250
95,Goodbye Deponia,84.85%,"5,510",11,"1,103",241910
96,The Tiny Bang Story,84.81%,"5,501",15,"164,840",96000
97,Outcast 1.1,84.08%,"5,409",3,130,336610
98,Legacy of Kain: Soul Reaver,70.27%,"5,384",6,144,224920
99,Shadow Warrior Classic Redux,87.12%,"5,362",18,283,225160
