,Name,Rating,Followers,Online,Peak,id
0,War Thunder,78.91%,"337,875","33,810","63,406",236390
1,World of Warships,80.36%,"321,773","12,469","379,096",552990
2,Sea of Thieves,89.02%,"296,979","12,264","66,906",1172620
3,Blackwake,81.10%,"129,829",24,"6,159",420290
4,Assassin’s Creed® IV Black Flag™,87.95%,"120,289",734,"16,049",242050
5,Naval Action,62.61%,"104,423",788,"5,222",311310
6,UBOAT,77.35%,"103,850",594,"5,755",494840
7,Holdfast: Nations At War,87.44%,"78,648",275,"2,833",589290
8,Barotrauma,89.86%,"78,581","1,033","5,284",602960
9,Skull & Bones™,-,"71,558",0,1,370010
10,Salt,75.27%,"68,046",2,363,327860
11,From the Depths,87.42%,"66,623",375,"1,700",268650
12,Return of the Obra Dinn,94.20%,"61,277",74,"1,256",653530
13,Windward,77.48%,"58,881",13,"3,510",326410
14,Wargame: Red Dragon,86.93%,"58,455","1,061","4,779",251060
15,Cold Waters,82.58%,"56,828",175,865,541210
16,Battlefleet Gothic: Armada 2,77.42%,"51,468",310,"8,960",573100
17,Stormworks: Build and Rescue,89.88%,"51,077","1,606","5,746",573090
18,Azur Lane Crosswave,67.30%,"48,232",17,"10,413",1150080
19,Abandon Ship,72.27%,"43,681",12,734,551860
20,Total War: EMPIRE – Definitive Edition,88.85%,"41,997","2,594","27,559",10500
21,Tempest: Pirate Action RPG,68.44%,"35,643",21,"1,109",418180
22,Steel Ocean,67.80%,"34,980",0,"2,444",390670
23,Total War: NAPOLEON – Definitive Edition,89.42%,"32,133","1,336","9,935",34030
24,The Last Leviathan,66.95%,"29,357",2,266,489460
25,The Pirate: Caribbean Hunt,78.62%,"25,424",68,"1,968",512470
26,Wolfpack,87.41%,"23,692",22,384,490920
27,Port Royale 4,58.77%,"23,196",110,"1,934",1024650
28,Strategic Mind: The Pacific,74.17%,"22,701",15,151,991810
29,Ultimate Admiral: Age of Sail,76.72%,"21,951",99,926,1069650
30,Man O' War: Corsair - Warhammer Naval Battles,60.96%,"20,967",1,196,344240
31,Assassin's Creed Freedom Cry,73.28%,"19,990",11,447,277590
33,Maelstrom,79.65%,"19,198",6,"1,327",764050
34,War on the Sea,72.66%,"17,542",172,856,1280780
36,Blazing Sails,85.43%,"16,458",84,"1,680",1158940
37,Command: Modern Air / Naval Operations WOTY,79.51%,"15,732",15,194,321410
38,Fishing: Barents Sea,75.19%,"15,466",42,"2,075",501080
39,King of Seas,56.02%,"14,187",49,"1,138",1209410
40,TransOcean: The Shipping Company,68.17%,"11,902",42,"1,304",289930
41,Atlantic Fleet,81.08%,"11,580",45,400,420440
42,Combat Air Patrol 2: Military Flight Simulator,50.75%,"11,473",0,81,347170
43,Out of Reach: Treasure Royale,63.47%,"10,644",0,129,867400
44,Nantucket,75.21%,"10,211",2,"1,261",621220
45,Feral Blue,60.91%,"10,198",0,81,618100
46,Florensia,63.53%,"10,049",32,385,384030
47,Sid Meier's Pirates!,90.78%,"10,035",107,"1,342",3920
48,Sailaway - The Sailing Simulator,65.89%,"9,604",47,163,552920
49,ICBM,86.86%,"9,590",39,700,1178220
50,Deadliest Catch: The Game,52.94%,"9,465",14,399,838630
51,Sea Dogs: To Each His Own - Pirate Open World RPG,73.09%,"8,391",126,449,223330
52,Victory At Sea Pacific,61.27%,"8,304",10,414,806950
53,Navy Field 2 : Conqueror of the Ocean,45.21%,"8,218",0,"1,548",338540
55,Blood and Gold: Caribbean!,59.38%,"7,706",8,497,413710
56,Unearned Bounty,64.08%,"7,242",0,142,377260
57,GunFleet,57.37%,"6,882",0,148,568580
59,IronWolf VR,90.68%,"6,557",4,45,552080
60,Fishing: North Atlantic,70.76%,"6,308",329,"1,292",1264250
61,Port Royale 3,70.50%,"6,033",75,614,205610
62,Battlestations Pacific,68.22%,"6,024",16,380,8170
63,Silent Hunter® III,82.85%,"5,858",63,237,15210
65,Aircraft Carrier Survival: Prologue,69.51%,"5,711",19,647,1493800
66,Silent Hunter 5®: Battle of the Atlantic,44.27%,"5,607",32,394,48110
68,Ragnarock,90.58%,"5,259",31,104,1345820
69,Ship Simulator Extremes,49.05%,"5,066",16,229,48800
70,The Pirate: Plague of the Dead,71.74%,"5,025",13,398,723790
71,European Ship Simulator,43.13%,"4,824",3,85,299250
72,Her Majesty's Ship,49.29%,"4,560",0,128,688660
73,Dieselpunk Wars,68.72%,"4,530",2,51,952240
74,Battle Fleet 2,70.93%,"4,454",4,139,332490
75,Victory At Sea,70.23%,"4,449",9,347,298480
76,Carrier Deck,82.48%,"4,408",20,336,580720
77,Make Sail,60.88%,"3,821",0,36,417200
78,Uncharted Ocean,71.80%,"3,521",15,350,1158690
79,Furious Seas,71.53%,"3,432",2,19,875760
80,Winds Of Trade,59.60%,"3,236",0,37,576260
82,Carrier Command: Gaea Mission,46.02%,"3,132",23,"1,259",65740
83,NavalArt,82.65%,"3,001",60,97,842780
84,Battlestations: Midway,72.47%,"2,782",10,175,6870
85,Capsa,55.65%,"2,756",0,32,588120
86,Shipped,90.56%,"2,681",0,66,1037190
87,Silent Hunter®: Wolves of the Pacific,64.83%,"2,473",46,118,15200
88,Britannic: Patroness of the Mediterranean,83.63%,"2,439",5,396,1259560
90,Battlewake,64.37%,"2,399",0,38,814400
91,Pirates of the Polygon Sea,65.13%,"2,374",0,49,479020
92,Sea Dogs: Caribbean Tales,59.94%,"2,210",3,25,817460
95,NAVYFIELD,62.60%,"2,089",357,472,675560
96,Sea Dogs,67.81%,"2,020",2,13,764670
97,The Caribbean Sail,85.72%,"1,998",0,21,657690
98,Crash Dive,78.92%,"1,893",3,55,365260
99,War of Beach,53.61%,"1,757",0,428,398840
