,Name,Rating,Followers,Online,Peak,id
0,NARAKA: BLADEPOINT,69.00%,"252,417","67,635","70,731",1203220
1,BIOMUTANT,67.31%,"210,381",269,"55,048",597820
2,太吾绘卷 The Scroll Of Taiwu,80.34%,"146,061","1,393","72,533",838350
3,Absolver,68.57%,"108,535",56,"18,921",473690
4,嗜血印 Bloody Spell,84.51%,"94,908",274,"4,256",992300
5,古剑奇谭三(Gujian3),84.32%,"89,818","1,774","10,183",994280
6,Amazing Cultivation Simulator,85.14%,"89,457","2,592","18,349",955900
7,Sleeping Dogs: Definitive Edition,90.22%,"88,438","1,262","4,035",307690
8,Sands of Salzaar,85.57%,"60,685",321,"21,047",1094520
9,武侠乂 The Swordsmen X,48.33%,"44,270",5,"5,075",840140
10,Kung Fury,95.76%,"41,750",0,417,374570
11,Path Of Wuxia,88.28%,"39,609",466,"15,597",1189630
12,Overgrowth,74.49%,"37,614",21,606,25000
13,河洛群俠傳 (Ho Tu Lo Shu ： The Books of Dragon),77.49%,"33,751",549,"1,877",952860
14,侠客风云传(Tale of Wuxia),75.98%,"32,600",316,963,377530
15,天命奇御 Fate Seeker,88.51%,"31,933",361,"16,413",882790
16,Shenmue I & II,84.27%,"31,307",27,"1,554",758330
17,Eastern Exorcist,82.41%,"26,946",152,"2,206",1120810
18,Xuan-Yuan Sword VII,62.80%,"26,063",91,"12,320",1249800
19,九劫曲：诅咒之地 NINE TRIALS,60.06%,"19,965",2,"6,151",976800
20,Toribash,86.53%,"18,543",67,"2,724",248570
21,The Wind Road 紫塞秋风,65.81%,"17,642",23,"4,874",1264670
22,Sleeping Dogs,92.07%,"17,226",32,"12,134",202170
23,Mirror's Edge™ Catalyst,81.60%,"17,003",74,"1,446",1233570
24,Unruly Heroes,73.62%,"15,189",8,188,780350
25,One Finger Death Punch,95.53%,"14,652",17,"1,921",264200
26,Shenmue III,74.05%,"13,771",14,335,878670
28,觅长生,82.99%,"12,890",965,"1,093",1189490
29,College Kings - Act I,89.54%,"12,000",173,"1,642",1463120
30,Redeemer: Enhanced Edition,81.60%,"11,655",9,802,447290
31,神舞幻想 Faith of Danschant,59.79%,"11,276",73,"2,364",724970
32,Xuan-Yuan Sword: The Gate of Firmament,70.74%,"11,024",20,352,427030
33,Fights in Tight Spaces,87.74%,"10,585",74,826,1265820
34,Fight Angel Special Edition,74.83%,"10,431",6,130,1041840
35,侠客风云传前传(Tale of Wuxia:The Pre-Sequel),73.86%,"10,358",179,510,650760
37,武林志（Wushu Chronicles）,61.33%,"9,799",58,"1,118",921390
38,The friends of Ringo Ishikawa,83.62%,"9,279",19,414,846110
41,我来自江湖 From Jianghu,71.80%,"6,604",239,"1,965",1058770
42,BoneTown: The Second Coming Edition,74.83%,"6,532",24,446,288080
43,One Finger Death Punch 2,92.96%,"6,277",9,"1,027",980300
44,9 Monkeys of Shaolin,82.19%,"6,086",1,160,739080
46,Shaolin vs Wutang,86.68%,"5,441",0,38,466110
47,古剑奇谭二(GuJian2),74.28%,"5,261",109,563,570770
48,Legend of Kay Anniversary,65.67%,"5,105",3,52,313810
49,古剑奇谭(GuJian),76.99%,"5,044",368,"1,782",570780
51,Fantasy Strike,65.07%,"4,440",12,383,390560
52,Disgraced,74.77%,"4,291",0,44,485360
54,武林志2 (Wushu Chronicles 2),48.50%,"4,064",253,386,1465890
55,鸿源战纪 - Tales of Hongyuan,74.26%,"4,029",2,303,678560
56,Songs Of Wuxia,76.09%,"3,954",1,178,1186460
57,Boomerang Fu,89.38%,"3,834",30,171,965680
58,Jade Empire™: Special Edition,71.40%,"3,819",8,842,7110
59,Roof Rage,85.61%,"3,793",0,49,724300
60,大衍江湖 - Evolution Of JiangHu,65.52%,"3,699",16,324,1502040
61,下一站江湖Ⅰ,67.10%,"3,682",48,372,1448260
62,Shuyan Saga™,79.72%,"3,675",1,25,594680
63,Hanako: Honor & Blade,74.67%,"3,482",0,35,349510
64,风信楼,88.47%,"3,391",19,229,1126310
