,Name,Rating,Followers,Online,Peak,id
0,Grand Theft Auto V,82.79%,"2,336,535","96,238","364,548",271590
1,Rocket League®,88.30%,"618,648","64,583","147,632",252950
2,BeamNG.drive,94.90%,"250,756","6,991","13,572",284160
3,Mad Max,89.84%,"215,925",625,"33,356",234140
4,Forza Horizon 4,81.51%,"157,869","6,680","40,399",1293830
5,Assetto Corsa,89.38%,"136,976","6,231","11,691",244210
6,The Crew™ 2,78.57%,"135,701","1,539","12,748",646910
7,Car Mechanic Simulator 2018,88.38%,"127,208","1,770","8,474",645630
8,DiRT Rally,85.97%,"126,734",252,"20,343",310560
9,Steep™,79.99%,"125,268",99,"2,113",460920
10,Project CARS,76.53%,"122,097",162,"10,688",234630
11,Wreckfest,84.25%,"118,325","1,206","3,865",228380
12,Crossout,75.81%,"98,196","2,617","9,701",386180
13,The Crew™,67.62%,"94,019",27,"12,236",241560
15,MudRunner,87.05%,"92,186",307,"8,667",675010
16,Mafia: Definitive Edition,85.51%,"91,551",375,"36,679",1030840
17,My Summer Car,91.47%,"90,992",800,"5,509",516750
18,GRID 2,81.99%,"89,602",194,"27,339",44350
19,Sleeping Dogs: Definitive Edition,90.22%,"88,415",561,"4,035",307690
20,Project CARS 2,77.98%,"81,861",662,"6,775",378860
21,RAGE 2,60.35%,"76,166",157,"13,673",548570
22,Road Redemption,79.96%,"75,526",44,806,300380
23,DiRT Rally 2.0,82.29%,"72,033","1,291","3,533",690790
24,Assetto Corsa Competizione,87.72%,"68,542","2,291","6,926",805550
25,Clustertruck,89.91%,"66,026",77,"2,658",397950
26,SpeedRunners,91.84%,"65,857",338,"17,212",207140
27,RaceRoom Racing Experience,69.56%,"58,746",670,"2,630",211500
28,APB Reloaded,63.15%,"56,954",297,"11,813",113400
29,Need for Speed™ Heat,80.81%,"56,558","2,334","9,603",1222680
30,Distance,89.67%,"48,822",36,463,233610
31,Trailmakers,88.44%,"48,654",504,"2,132",585420
32,RAGE,75.30%,"48,010",114,"18,059",9200
33,SimplePlanes,89.49%,"47,929",165,885,397340
34,DiRT 4,76.35%,"47,681",236,"4,396",421020
35,Brick Rigs,90.35%,"47,117",676,"1,963",552100
36,Need For Speed: Hot Pursuit,80.64%,"44,731",74,"3,005",47870
37,Automation - The Car Company Tycoon Game,88.99%,"44,679",350,"1,235",293760
38,Motorsport Manager,89.05%,"44,598",937,"6,251",415200
39,Tower Unite,87.09%,"43,643",428,"1,603",394690
40,Notes of Soul,77.17%,"43,473",71,"2,968",991780
41,Car Mechanic Simulator 2015,89.62%,"40,714",118,"4,340",320300
42,F1® 2020,91.40%,"40,484","4,025","24,010",1080110
43,City Car Driving,78.17%,"39,622",417,"2,399",493490
45,CarX Drift Racing Online,92.25%,"36,828","2,758","4,471",635260
46,音灵 INVAXION,59.23%,"33,623",1,"5,350",921630
47,F1™ 2017,83.37%,"33,594",131,"8,111",515220
48,Hot Lava,90.00%,"30,941",29,"1,030",382560
49,Just Cause 2: Multiplayer Mod,89.43%,"29,553",41,"10,574",259080
50,Redout: Enhanced Edition,83.67%,"29,360",13,"1,118",517710
51,iRacing,83.00%,"28,497",98,612,266410
52,Transformice,84.78%,"28,434","2,351","5,636",335240
53,F1® 2019,87.83%,"28,051",825,"12,736",928600
54,F1 2016,82.24%,"27,656",57,"5,658",391040
55,DRIFT21,69.54%,"27,212",52,827,520950
56,F1 2018,85.42%,"26,900",436,"9,809",737800
57,Need for Speed™ Most Wanted,76.76%,"26,011",121,"1,964",1262560
58,SnowRunner,80.60%,"25,816","1,777","5,865",1465360
59,Robot Roller-Derby Disco Dodgeball,88.88%,"24,880",4,373,270450
60,Rock of Ages 2: Bigger & Boulder™,81.54%,"23,810",13,"2,273",434460
61,Homebrew - Patent Unknown,73.72%,"23,166",11,100,325420
62,F1® 2021,81.56%,"22,704","9,154","24,513",1134570
63,Sable,-,"22,694",0,1,757310
64,Descenders,91.13%,"22,467",375,"1,563",681280
65,GRIP: Combat Racing,82.14%,"22,087",23,622,396900
66,GRID Autosport,75.73%,"22,085",47,"3,554",255220
67,Trackmania® Turbo,63.21%,"22,035",13,"2,085",375900
68,rFactor 2,80.83%,"21,881",462,"1,652",365960
69,Blockland,71.24%,"21,521",23,"2,358",250340
70,Guts and Glory,77.77%,"21,480",11,257,537340
71,Audiosurf 2,79.34%,"20,619",30,473,235800
72,Car Mechanic Simulator 2021,87.61%,"20,132","17,669","18,491",1190000
73,EmergeNYC,64.12%,"19,126",44,479,461430
74,Grand Theft Auto: Episodes from Liberty City,72.35%,"18,873",0,"3,013",12220
75,Turbo Dismount™,89.13%,"18,741",23,761,263760
76,Aerofly FS 2 Flight Simulator,74.91%,"17,875",17,109,434030
77,Thumper,88.25%,"17,547",10,246,356400
78,GRID,64.46%,"17,150",117,"1,038",703860
79,Burnout Paradise: The Ultimate Box,84.87%,"17,076",45,"6,284",24740
80,Of Guards And Thieves,82.68%,"16,934",44,425,302590
81,RIDE 3,79.21%,"16,735",41,"1,080",759740
82,Sonic & All-Stars Racing Transformed Collection,91.70%,"16,487",129,"5,861",212480
83,BREAK ARTS II,71.18%,"16,115",4,464,547360
84,OMON Simulator,71.12%,"15,924",8,801,1140440
85,Diesel Brothers: Truck Building Simulator,62.44%,"15,771",17,"1,377",750050
87,Project CARS 3,53.65%,"15,662",101,"1,218",958400
88,RDS - The Official Drift Videogame,76.62%,"15,152",2,147,934930
89,Liftoff: FPV Drone Racing,89.26%,"15,008",205,646,410340
90,AudioSurf,92.97%,"14,799",24,"5,977",12900
91,KartKraft™,79.28%,"14,794",29,206,406350
92,Pixel Traffic: Circle Rush,73.51%,"14,740",1,15,696460
93,Automobilista 2,84.86%,"14,675",265,"1,150",1066890
94,RIDE 4,72.28%,"14,196",161,"1,820",1259980
95,Team Sonic Racing™,69.44%,"14,033",91,"1,056",785260
96,The Long Drive,87.47%,"13,860",272,767,1017180
97,TrackMania² Stadium,85.67%,"13,562",195,"3,597",232910
98,art of rally,90.72%,"13,427",98,477,550320
99,WRC 7 FIA World Rally Championship,72.10%,"13,335",41,"1,034",621830
