,Name,Rating,Followers,Online,Peak,id
0,Rocket League®,88.30%,"618,648","64,583","147,632",252950
1,theHunter: Call of the Wild™,84.57%,"356,627","2,407","18,081",518790
2,TEKKEN 7,81.66%,"166,853","3,771","18,966",389730
3,Forza Horizon 4,81.51%,"157,869","6,680","40,399",1293830
4,DEAD OR ALIVE Xtreme Venus Vacation,80.53%,"139,994",976,"10,381",958260
5,Assetto Corsa,89.38%,"136,976","6,231","11,691",244210
6,The Crew™ 2,78.57%,"135,701","1,539","12,748",646910
7,VRChat,89.47%,"135,546","16,529","27,732",438100
8,Beat Saber,94.42%,"135,326","1,438","4,472",620980
9,DiRT Rally,85.97%,"126,734",252,"20,343",310560
10,Steep™,79.99%,"125,268",99,"2,113",460920
11,Project CARS,76.53%,"122,097",162,"10,688",234630
12,Wreckfest,84.25%,"118,325","1,206","3,865",228380
13,FINAL FANTASY X/X-2 HD Remaster,88.63%,"97,223",710,"13,263",359870
14,GRID 2,81.99%,"89,602",194,"27,339",44350
15,Project CARS 2,77.98%,"81,861",662,"6,775",378860
16,Fishing Planet,81.71%,"76,873","2,093","6,709",380600
17,Road Redemption,79.96%,"75,526",44,806,300380
18,theHunter Classic,52.33%,"73,442",967,"3,984",253710
19,DiRT Rally 2.0,82.29%,"72,033","1,291","3,533",690790
20,Golf With Your Friends,88.56%,"71,324","1,673","20,750",431240
21,Assetto Corsa Competizione,87.72%,"68,542","2,291","6,926",805550
22,SpeedRunners,91.84%,"65,857",338,"17,212",207140
23,Pyre,87.74%,"63,813",30,"4,013",462770
24,Football Manager 2019,84.19%,"63,148","3,213","75,982",872790
25,Football Manager 2020,87.21%,"58,832","11,998","189,464",1100600
26,RaceRoom Racing Experience,69.56%,"58,746",670,"2,630",211500
27,Need for Speed™ Heat,80.81%,"56,558","2,334","9,603",1222680
28,EA SPORTS™ FIFA 21,73.38%,"55,258","24,397","44,388",1313860
29,Russian Fishing 4,73.40%,"54,421","2,208","8,854",766570
30,Football Manager 2017,58.28%,"53,446","1,258","72,824",482730
31,NBA 2K18,30.16%,"52,833",72,"25,432",577800
32,NBA 2K20,50.89%,"52,756","1,806","48,375",1089350
33,Football Manager 2021,91.11%,"48,921","55,993","93,865",1263850
34,DiRT 4,76.35%,"47,681",236,"4,396",421020
35,NBA 2K19,39.68%,"47,316",223,"29,202",841370
36,eFootball PES 2020,69.53%,"45,528","1,195","21,018",996470
37,Need For Speed: Hot Pursuit,80.64%,"44,731",74,"3,005",47870
38,Motorsport Manager,89.05%,"44,598",937,"6,251",415200
39,Punch Club,77.96%,"42,048",53,"4,305",394310
40,NBA 2K17,53.03%,"41,663",75,"14,905",385760
41,F1® 2020,91.40%,"40,484","4,025","24,010",1080110
42,NBA 2K21,40.74%,"39,607","6,572","31,826",1225330
44,Skater XL - The Ultimate Skateboarding Game,83.94%,"37,518",774,"5,741",962730
45,CarX Drift Racing Online,92.25%,"36,828","2,758","4,471",635260
46,Blood Bowl 2,75.95%,"35,836",553,"6,511",236690
47,S.K.I.L.L. - Special Force 2 (Shooter),68.78%,"34,060",2,"3,918",286940
48,F1™ 2017,83.37%,"33,594",131,"8,111",515220
49,DJMAX RESPECT V,85.08%,"31,943",176,"2,895",960170
50,NBA 2K16,51.23%,"30,051",38,"9,322",370240
51,SNOW - The Ultimate Edition,64.85%,"29,659",6,"2,779",244930
52,Redout: Enhanced Edition,83.67%,"29,360",13,"1,118",517710
53,eFootball PES 2021 SEASON UPDATE,72.16%,"29,159","12,822","20,674",1259970
54,iRacing,83.00%,"28,497",98,612,266410
55,Golf It!,86.41%,"28,101","1,572","2,791",571740
56,F1® 2019,87.83%,"28,051",825,"12,736",928600
57,F1 2016,82.24%,"27,656",57,"5,658",391040
58,Freestyle 2: Street Basketball,71.78%,"27,569",344,"10,356",339610
59,DRIFT21,69.54%,"27,212",52,827,520950
60,F1 2018,85.42%,"26,900",436,"9,809",737800
61,Lethal League,90.89%,"25,130",8,"1,929",261180
62,Robot Roller-Derby Disco Dodgeball,88.88%,"24,880",4,373,270450
63,Ultimate Fishing Simulator,85.89%,"24,855",53,480,468920
