,Name,Rating,Followers,Online,Peak,id
0,Golf With Your Friends,88.56%,"71,335",797,"20,750",431240
1,Golf It!,86.40%,"28,112","1,453","2,791",571740
2,PGA TOUR 2K21,80.74%,"8,808",627,"5,473",1016120
3,The Golf Club™ 2019 featuring PGA TOUR,73.01%,"4,232",63,"1,131",695290
4,Perfect Golf,62.31%,"3,965",32,198,288140
5,The Golf Club 2™,59.45%,"2,793",8,455,554510
6,Unreal Golf,66.76%,"2,538",0,9,1660490
7,WGT Golf,59.90%,"2,333",175,446,1182020
8,GolfTopia,88.00%,"2,255",3,77,1144020
9,The Golf Club,62.24%,"2,146",14,215,269730
10,The Golf Club VR,66.25%,"1,905",4,30,489600
11,Resort Boss: Golf,45.39%,"1,661",1,58,869060
12,Winning Putt: Golf Online,62.96%,"1,515",0,450,458960
13,Golfing Over It with Alva Majo,68.68%,"1,505",12,528,817510
14,Golf Masters,30.80%,"1,448",0,3,374970
15,Dangerous Golf,47.85%,"1,442",0,121,405500
16,Vertiginous Golf,57.36%,"1,415",0,"1,330",272890
17,100ft Robot Golf,67.09%,"1,271",3,17,368000
18,Walkabout Mini Golf VR,89.58%,"1,162",11,114,1408230
19,Super Inefficient Golf,74.06%,"1,038",0,22,772480
20,Worms Crazy Golf,76.85%,"1,025",3,102,70620
21,Infinite Mini Golf,69.57%,890,1,18,446550
22,All-In-One Sports VR,67.13%,870,14,30,1514840
23,Ballistic Mini Golf,51.36%,763,0,27,725960
24,Golf Around!,87.45%,672,3,214,1086410
25,Golf Peaks,85.53%,528,0,17,923260
26,Perfect Round Disc Golf,74.85%,520,0,13,1029570
27,MiniGolf Mania,61.80%,504,1,16,453680
28,Mini Golf Arena,48.95%,503,0,66,485670
29,Everyday Golf VR,46.74%,452,3,11,643590
30,3D Ultra™ Minigolf Adventures,60.87%,450,0,16,10140
31,Wonder Wickets,80.48%,434,0,16,598640
32,Shot Online,58.70%,353,0,123,390090
33,Nice Shot! The Gun Golfing Game,76.82%,329,0,24,951740
34,RPGolf,60.37%,325,0,11,797710
35,Party Golf,72.70%,316,0,13,538550
36,Golf for Workgroups,76.26%,311,0,24,572160
37,3D MiniGolf,41.11%,308,0,7,362830
39,Dream Golf VR,71.69%,298,1,18,723610
41,Golf Galore,73.88%,263,0,401,868080
42,Cheap Golf,76.68%,255,2,163,616520
43,Tee Time Golf,76.70%,245,1,20,537630
44,Mighty Fling,71.35%,213,0,36,1343920
45,Minigolf Blast,-,210,0,1,683660
46,Disc Golf Valley VR,60.17%,205,1,12,1579260
47,Links E6,53.95%,195,0,30,1620750
48,Disc Golf Valley,68.31%,137,8,31,1642890
49,MiniGolf,50.99%,132,0,3,1050240
50,Off The Chains Disc Golf,60.34%,131,0,8,1372700
51,Eggy,78.44%,120,7,11,1523670
52,Mini Golf Mundo,48.95%,116,1,98,468320
53,Arcane Golf,78.21%,107,0,4,897800
54,DOG GONE GOLFING,69.34%,106,0,77,665590
55,Speedy Golf,76.90%,102,0,10,1443330
56,Golf Party,74.00%,95,0,20,1417000
57,Golf 2D,50.00%,91,0,4,725680
58,Desert Golfing,83.44%,86,2,20,757040
60,Mini Golf Club,74.19%,79,0,8,1252650
61,Virtual Islands,64.78%,74,0,2,519540
62,Graviter,69.20%,70,0,2,1255920
63,Cloudlands 2,55.13%,64,0,8,1206960
64,Puttin' Around,45.83%,54,0,4,1002650
65,Mini Golf Buddies,40.40%,53,0,3,948200
66,Encore Card Games Collection,46.68%,50,3,14,906240
67,GOLF in PAPER,50.00%,48,0,2,1060060
69,disc party,76.34%,46,0,8,1310690
70,Golf On Mars,76.13%,44,0,10,1340570
71,Bolf,57.39%,42,0,2,1176970
72,Trivia Vault: Golf Trivia,55.75%,42,0,3,822900
73,Ball Adventure Ball Simulator,65.03%,39,0,6,1611510
75,Mage Drops,72.17%,26,0,2,1552600
76,CheeseCube,76.34%,23,0,3,1393490
77,Fort Golf,70.84%,22,0,2,1358570
78,Just Like Golf,59.60%,22,0,2,1286470
79,EnviroGolf,60.76%,19,0,1,1166090
80,Shuffs,59.42%,18,0,1,1345240
82,EPEJSODION Lodge,59.42%,16,0,3,1519530
83,Puzzling Peaks EXE,75.00%,16,0,3,1475420
84,Macro golf,27.83%,16,0,2,1472260
85,OGgolf,59.42%,13,0,2,1608820
86,Golf98,67.06%,10,0,4,1170160
87,Santa Soccer,59.42%,8,0,2,1617200
88,Overlay Balls & Mouse Tails,68.15%,8,0,2,1596240
89,Brian the Brain,66.62%,8,0,2,1583950
91,Golf With Your Grandmother,67.06%,7,0,1,1544430
95,Tommy's Honour,-,4,0,1,636300
98,Links E6 - Course Pack 3,-,-,-,-,1663022
99,Links E6 - Course Pack 2,-,-,-,-,1663021
