,Name,Rating,Followers,Online,Peak,id
1,Gang Beasts,75.43%,"232,199",305,"3,062",285900
2,Pummel Party,88.18%,"106,326","1,996","17,021",880940
3,Keep Talking and Nobody Explodes,94.99%,"105,733",182,"1,767",341800
4,Tricky Towers,88.11%,"38,416",354,960,437920
5,Spellbreak,82.87%,"27,906",595,"5,504",1399780
6,Worms Armageddon,91.29%,"17,776",157,834,217200
7,Worms Reloaded,83.31%,"17,731",40,"7,814",22600
8,The Jackbox Party Pack 3,93.22%,"16,140",262,"10,972",434170
9,Party Panic,74.94%,"15,966",12,388,506500
10,The Jackbox Party Pack 7,92.44%,"13,114",217,"10,599",1211630
11,Metal Wolf Chaos XD,80.05%,"13,060",2,410,820630
12,The Jackbox Party Pack 2,90.74%,"12,781",91,"4,937",397460
13,The Jackbox Party Pack 6,90.76%,"12,568",210,"6,630",1005300
14,The Jackbox Party Pack,87.01%,"11,058",58,"3,913",331670
15,The Jackbox Party Pack 5,87.72%,"8,669",93,"2,748",774461
16,Drawful 2,77.56%,"8,373",47,"5,430",442070
17,The Jackbox Party Pack 4,89.79%,"7,477",139,"3,902",610180
18,Quiplash,85.14%,"6,816",45,"2,855",351510
19,Governor of Poker 3,69.69%,"6,493","1,305","1,655",436150
20,Headsnatchers,51.88%,"6,147",7,"23,574",797410
21,Wobbly Life,92.36%,"5,702","1,079","1,547",1211020
22,Can't Drive This,77.88%,"5,060",0,58,466980
23,Olympic Games Tokyo 2020 – The Official Video Game™,44.17%,"4,561",59,"4,064",981890
25,Enemy On Board,71.54%,"4,034",0,891,999860
26,Boomerang Fu,89.38%,"3,834",28,171,965680
27,Use Your Words,81.97%,"3,368",13,487,521350
28,Treadnauts,79.71%,"3,231",0,45,695970
29,Super Buckyball Tournament Preseason,81.51%,"3,070",0,950,1341230
30,Divekick,80.28%,"3,033",3,953,244730
31,Marooners,62.78%,"2,957",4,182,423810
32,12 orbits,80.88%,"2,668",0,46,529950
33,Reiko's Fragments,71.98%,"2,504",0,31,1171240
34,Samurai Gunn,86.32%,"2,310",0,80,239090
35,8Bit Fiesta - Party Game,85.41%,"1,751",3,142,382260
36,Siege of Avalon: Anthology,79.52%,"1,745",3,137,1558990
37,Unspottable,85.05%,"1,742",4,105,1243960
38,A Gummy's Life,73.73%,"1,657",1,26,585190
39,Death Stair,65.06%,"1,496",0,130,444880
40,Billion Road,73.67%,"1,487",4,96,1163040
41,Bake 'n Switch,69.01%,"1,465",1,31,1080410
42,Neighborhorde,77.88%,"1,452",0,21,446760
44,Flat Heroes,82.69%,"1,308",2,122,508790
45,Metal Heads,62.98%,951,0,21,1132670
47,Fibbage XL,85.34%,918,19,700,448080
48,Hotel R'n'R,81.07%,903,0,19,1011290
49,Surgeon Simulator 2,-,824,0,3,774791
50,Alpaca Ball: Allstars,82.56%,733,1,17,1232640
51,Ponpu,68.77%,685,0,15,1261530
52,Muddledash,78.55%,651,0,8,769840
53,Operation Armstrong,70.57%,594,0,5,1145490
56,Bamerang,81.00%,478,0,17,1236490
57,Ruckus Ridge VR Party,60.06%,470,0,8,443800
58,Drive Buy,79.71%,437,0,10,774211
59,Super Friends Party,65.87%,425,0,162,1075140
60,SEX Cruise VR,43.68%,414,0,5,1359280
61,Dwarven Brawl Bros,71.26%,396,0,8,367260
62,Rockets are Super Hard,70.57%,393,0,6,675270
63,Chicku,78.51%,390,0,10,443630
64,Brunch Club,72.48%,389,0,19,1045120
65,Double Turn,47.89%,384,0,4,762680
66,Street Heat,64.06%,378,0,13,744040
67,Royal Merchant,62.31%,365,0,18,1087330
68,Campfire: One of Us Is the Killer,34.74%,353,0,519,533180
69,Fight Party,80.62%,339,2,34,1617480
70,Party Golf,72.70%,316,1,13,538550
71,SPITLINGS,78.44%,286,0,11,1002000
72,BOMBFEST,81.46%,283,0,7,729640
73,Trivia Tricks,81.99%,282,3,43,1404090
74,Wild Honesty: A party game for deeper conversations,72.22%,282,0,13,1354520
75,Crystal Chasers League,79.71%,281,0,8,1375650
76,Bonkies,81.25%,280,0,16,889260
77,YOU DON'T KNOW JACK Vol. 1 XL,69.32%,276,0,48,252730
78,Life On A Pizza,67.41%,271,9,42,1598560
79,Party Arena: Board Game Battler,71.49%,257,0,15,1196500
80,Dad Beat Dads,72.17%,249,0,3,386390
81,Doggone Hungry,83.23%,247,10,39,1563490
82,Misfire,53.86%,247,0,37,1145270
83,Rolling Hamster,80.28%,242,0,12,1352340
84,GraveRun,77.77%,240,0,162,450760
85,Disobedient Sheep,66.76%,236,0,6,1035530
86,Who is the Liar?,69.80%,232,0,6,1425550
87,Nominal,59.97%,217,0,6,1454190
88,Bottom of the 9th,75.24%,217,0,102,705020
89,Supermarket Shriek,78.30%,213,0,4,1086460
90,Beat Me! - Puppetonia Tournament,62.94%,212,0,20,1427880
92,Papa's Quiz,77.32%,195,2,14,1484730
93,Awkward,61.05%,193,0,66,769730
94,Cards of Chaos,64.35%,188,0,139,517110
95,RADtv,65.29%,187,0,6,649240
96,Made to Order: The Party Game,44.86%,184,0,5,860770
97,Caravan Chaos,79.05%,183,0,11,1133910
98,Rocket Rumble,75.00%,181,3,11,1357430
99,ACT IT OUT XL! A Game of Charades - Designed for Twitch,62.90%,180,0,11,675500
