,Name,Rating,Followers,Online,Peak,id
0,Kingdom Come: Deliverance,80.72%,"348,754","2,959","96,069",379430
1,Grim Dawn,91.74%,"223,409","5,078","61,458",219990
2,Pillars of Eternity,85.98%,"158,922",716,"41,906",291650
3,Wasteland 2: Director's Cut,80.29%,"93,015",19,"18,856",240760
4,Divinity: Original Sin (Classic),89.24%,"84,673",32,"22,040",230230
5,Battle Chasers: Nightwar,85.57%,"69,343",78,"5,375",451020
6,Skullgirls 2nd Encore,91.97%,"54,712",205,"4,016",245170
7,Rabi-Ribi,94.29%,"50,548",72,693,400910
8,M.A.S.S. Builder,86.18%,"47,323",95,481,956680
9,Kona,80.11%,"44,604",2,349,365160
10,The Banner Saga,86.98%,"34,765",68,"4,476",237990
11,Spellcaster University,81.58%,"34,011",211,"2,197",895620
12,Sunless Skies: Sovereign Edition,82.15%,"28,916",66,"2,344",596970
13,Shadowrun Returns,86.26%,"22,920",51,"24,329",234650
14,Shantae: Half-Genie Hero,86.55%,"22,337",3,964,253840
15,Aquanox Deep Descent,49.42%,"21,926",3,"1,248",254370
16,Last Year,59.67%,"18,520",8,"3,666",1195460
17,Broken Age,81.22%,"18,210",13,"3,260",232790
18,fault - milestone one,89.52%,"16,446",1,313,286260
19,Maia,46.18%,"13,991",0,101,252250
20,Fallen: A2P Protocol,39.81%,"13,938",0,146,325790
21,HARDCORE MECHA,79.76%,"13,762",25,"1,770",746580
22,NEKOPARA Extra,93.51%,"13,708",15,575,899970
23,Narcissu 1st & 2nd,91.17%,"13,275",5,443,264380
24,Tales of the Neon Sea,81.53%,"13,225",29,691,828740
25,DRONE The Game,78.49%,"10,620",0,551,987020
26,Godus,27.12%,"10,538",11,"6,473",232810
27,Aurora Dusk: Steam Age,78.63%,"10,202",2,357,397160
28,KARAKARA,86.78%,"10,065",1,314,487430
29,A Light in the Dark,89.51%,"9,194",4,158,766280
30,Eternal Hour: Golden Hour,85.44%,"8,262",0,42,734910
31,Muv-Luv Alternative (マブラヴ オルタネイティヴ),90.91%,"8,110",60,129,802890
32,The Mims Beginning,71.80%,"7,597",1,90,337820
33,Kelvin and the Infamous Machine,84.27%,"5,840",1,52,376520
34,Fatal Twelve,89.08%,"5,280",4,56,620210
35,Son of Nor,60.27%,"5,135",0,56,264000
36,Muv-Luv (マブラヴ),89.26%,"4,987",33,146,802880
37,CLANNAD Side Stories,81.43%,"4,887",1,15,420100
38,Spinnortality | cyberpunk management sim,74.17%,"4,884",2,426,822990
39,Memory's Dogma CODE:01,75.75%,"4,848",0,181,386970
40,Voices from the Sea,88.12%,"4,779",0,52,348620
41,Shining Song Starnova,85.75%,"4,570",2,57,675240
43,WORLD END ECONOMiCA episode.01,80.33%,"4,517",1,79,269250
44,Chessaria: The Tactical Adventure (Chess),69.79%,"4,446",0,19,575340
45,ChronoClock,82.61%,"4,130",0,42,539660
46,Narcissu 10th Anniversary Anthology Project,90.55%,"4,040",4,70,426690
47,Knock-knock,83.17%,"3,921",2,172,250380
48,Arcana Heart 3 LOVEMAX SIXSTARS!!!!!! XTEND,76.16%,"3,720",15,319,661990
50,Root Double -Before Crime * After Days- Xtend Edition,85.20%,"3,377",4,214,438130
51,TOKYO CHRONOS,82.08%,"3,252",0,53,1031440
52,Epitasis,69.94%,"3,207",0,34,662240
53,WORLD END ECONOMiCA episode.02,85.89%,"3,136",0,58,368160
54,Colonial Conquest,59.47%,"3,094",4,88,341030
55,Sweet Dream Succubus - Nightmare Edition,68.20%,"3,039",2,28,1103490
56,Last Labyrinth（ラストラビリンス）,71.79%,"2,750",2,58,979400
57,Deep Dark Dungeon,60.59%,"2,707",0,10,496290
58,Ne no Kami: The Two Princess Knights of Kyoto,81.22%,"2,489",0,22,490890
59,A Clockwork Ley-Line: The Borderline of Dusk,79.89%,"2,422",0,16,620080
60,からかい上手の高木さんVR 1学期,71.48%,"2,336",1,20,1264160
61,Indie Pogo,79.49%,"2,243",0,105,818210
62,NAIRI: Tower of Shirin,80.38%,"2,213",0,55,802450
63,AR-K,55.83%,"2,173",0,129,269890
64,Guard Duty,82.60%,"2,165",0,25,872750
65,ZED,58.06%,"2,157",0,60,953370
66,Hoshizora no Memoria -Wish upon a Shooting Star-,87.73%,"2,134",4,12,715580
67,Muv-Luv photonflowers*,84.76%,"1,921",1,35,889700
68,Super Daryl Deluxe,81.85%,"1,818",0,338,361230
69,Ne no Kami - The Two Princess Knights of Kyoto Part 2,83.53%,"1,681",0,12,701420
70,Muv-Luv photonmelodies♮,78.32%,"1,543",1,86,889710
71,Walkerman,70.25%,"1,355",0,16,387100
72,XOXO Droplets,68.95%,"1,186",3,46,622060
73,WORLD END ECONOMiCA episode.03,85.01%,"1,158",0,264,527190
74,A More Beautiful World - A Kinetic Visual Novel,50.00%,"1,088",0,2,436680
76,Hex Gambit,67.40%,"1,027",0,9,458040
77,Exogenesis ~Perils of Rebirth~,60.54%,884,0,7,1041270
78,Flowers Blooming at the End of Summer,90.26%,868,8,111,1173010
79,Order of Ataxia: Initial Effects,66.62%,684,0,7,386960
80,Caffeine: Victoria's Legacy,79.32%,632,1,6,890700
81,BEARZERKERS,74.19%,571,0,4,325300
82,Night of the Blood Moon,78.16%,565,0,7,894000
83,Chuck's Challenge 3D 2020,79.65%,407,0,32,262590
84,Sumer,77.41%,404,0,5,464950
85,Lancelot's Hangover: The Quest for the Holy Booze,81.11%,387,0,9,917380
86,The Mystery Of Woolley Mountain,72.24%,334,0,8,521560
87,Catmouth Island,51.46%,321,0,169,336380
88,Ayo the Clown,81.65%,317,2,10,1114900
89,Borealis,58.80%,315,0,332,307170
90,Hoyeonjigi,72.20%,273,0,4,952920
93,spaceBOUND,65.25%,250,0,12,653190
94,Raindrops,85.79%,236,0,27,1268860
96,Paparazzi,53.27%,215,0,5,341360
97,Log Jammers,69.20%,168,0,17,684800
98,Landflix Odyssey,70.57%,162,0,4,794850
