,Name,Rating,Followers,Online,Peak,id
0,Call of Duty®: Modern Warfare® 2,90.98%,"378,221",401,"22,614",10180
1,BioShock Infinite,93.88%,"124,652",535,"65,332",8870
2,FINAL FANTASY X/X-2 HD Remaster,88.63%,"97,223",683,"13,263",359870
3,Ryse: Son of Rome,83.77%,"96,693",83,"3,257",302510
4,Call of Duty®: Advanced Warfare - Gold Edition,62.16%,"84,489",31,"12,675",209650
5,NEKOPARA Vol. 1,93.39%,"83,447",71,487,333600
6,FINAL FANTASY® XIII,72.47%,"69,139",267,"8,320",292120
7,Call of Duty®: Black Ops,88.38%,"58,545",600,"63,343",42700
8,Hitman: Absolution™,89.38%,"55,610",168,"26,137",203140
9,To the Moon,94.71%,"53,650",27,615,206440
10,NEKOPARA Vol. 2,94.43%,"51,636",19,"1,228",420110
11,RAGE,75.30%,"48,010",102,"18,059",9200
12,FINAL FANTASY TYPE-0™ HD,60.48%,"45,684",18,"2,673",340170
13,Max Payne 3,83.36%,"45,229",252,"9,594",204100
14,Metro 2033,90.99%,"41,090",120,"14,743",43110
15,Call of Duty® 4: Modern Warfare®,90.45%,"38,990",427,"1,796",7940
16,Remember Me,81.36%,"37,212",14,"3,117",228300
17,NEKOPARA Vol. 0,91.74%,"35,604",30,960,385800
18,Call of Duty®: Ghosts,59.78%,"35,002",46,"13,831",209160
19,We Were Here Together,84.15%,"31,591",144,"2,261",865360
20,Lord of the Rings: War in the North,77.64%,"29,666",34,"4,664",32800
21,FINAL FANTASY® XIII-2,58.54%,"28,616",71,"1,883",292140
22,We Were Here Too,77.81%,"24,660",77,956,677160
23,ENSLAVED™: Odyssey to the West™ Premium Edition,82.48%,"23,665",9,914,245280
24,Backbone,58.40%,"22,464",1,739,865610
25,Cyber Manhunt,91.07%,"22,046",67,"2,807",1216710
26,Machinarium,92.70%,"21,187",18,"1,279",40700
27,Rebirth:Mr Wang,77.97%,"19,082",4,"1,812",1394800
28,Draw & Guess,83.34%,"19,037","1,145","41,766",1483870
29,eden*,91.80%,"18,522",4,302,315810
30,Until We Die,76.89%,"18,157",68,"2,335",1197570
31,Medal of Honor™,70.33%,"17,726",34,"2,285",47790
32,The Silent Age,90.20%,"16,105",2,458,352520
33,Higurashi When They Cry Hou - Ch.1 Onikakushi,91.82%,"16,101",19,543,310360
34,Fallen girl - Black rose and the fire of desire,71.68%,"15,730",12,368,1546010
35,LOST SPHEAR,55.80%,"15,422",4,245,525240
36,Creaks,89.94%,"15,210",7,286,956030
37,City of Broken Dreamers: Book One,88.79%,"14,767",44,386,1358250
38,fault - milestone two side:above,92.78%,"14,240",0,234,344770
40,Dollhouse,54.53%,"13,111",0,45,280850
42,CHUCHEL,77.22%,"11,959",6,243,711660
43,Predynastic Egypt,86.97%,"11,823",7,295,461620
44,The Gardens Between,89.26%,"10,972",1,138,600990
45,Duke Nukem Forever,66.28%,"10,731",37,"13,321",57900
46,Zengeon,69.58%,"10,491",0,469,1000080
47,Galaxy on Fire 2™ Full HD,72.43%,"10,212",7,605,212010
48,KARAKARA,86.78%,"10,065",2,314,487430
49,LEGO® Builder's Journey,74.81%,"10,044",14,727,1544360
50,Red Faction®: Armageddon™,70.89%,"9,886",8,"1,839",55110
51,Dear Esther,73.78%,"9,751",0,"1,184",203810
52,Candleman: The Complete Journey,87.89%,"9,065",1,127,591630
53,AWAY: The Survival Series,-,"9,047",0,1,750200
54,Max Payne,87.22%,"8,906",57,727,12140
55,Bee Simulator,65.82%,"8,528",23,85,914750
56,Amnesia: A Machine for Pigs,67.40%,"8,507",20,"7,249",239200
57,planetarian ~the reverie of a little planet~,92.49%,"8,482",1,63,316720
58,The Book of Unwritten Tales 2,86.14%,"8,052",5,419,279940
59,Panzer Knights,77.92%,"8,040",26,248,1416230
61,Unto The End,64.99%,"7,428",0,107,600080
62,Call of Duty®,90.50%,"6,818",55,204,2620
63,FINAL FANTASY IV: THE AFTER YEARS,60.62%,"6,711",26,271,346830
64,Onii-chan Asobo,68.16%,"6,287",0,47,954610
65,Suicide Guy Deluxe Edition,81.50%,"6,159",1,20,1583740
66,2064: Read Only Memories,76.06%,"6,124",2,139,330820
67,Labyrinth City: Pierre the Maze Detective,89.89%,"6,024",5,566,1421790
68,Kelvin and the Infamous Machine,84.26%,"5,841",2,52,376520
69,Umineko When They Cry - Question Arcs,91.03%,"5,807",63,145,406550
70,Higurashi When They Cry Hou - Ch.2 Watanagashi,90.44%,"5,690",12,163,410890
71,Love at First Sight,90.22%,"5,622",1,53,353330
72,Harem Hunter: Sex-ray Vision,62.73%,"5,525",0,53,1490250
73,DISTRAINT 2,91.75%,"5,327",1,96,743390
74,Potentia,66.48%,"5,188",1,72,606980
75,Sacred 3,27.75%,"5,142",6,"1,981",247950
76,Shady Part of Me,88.75%,"5,094",5,76,1116580
77,Leisure Suit Larry in the Land of the Lounge Lizards: Reloaded,75.95%,"5,027",0,350,231910
78,Masquerada: Songs and Shadows,83.63%,"5,010",1,65,459090
79,Lacuna – A Sci-Fi Noir Adventure,87.98%,"4,943",6,168,1364100
80,Elmarion: Dragon's Princess,73.08%,"4,846",0,16,1468040
82,Voices from the Sea,88.12%,"4,779",0,52,348620
83,Bot Vice,89.09%,"4,692",0,47,491040
84,WORLD END ECONOMiCA episode.01,80.33%,"4,517",1,79,269250
85,The Journey Down: Chapter One,82.85%,"4,411",0,245,220090
86,Woodle Deluxe,76.37%,"4,311",0,5,1516090
87,Omega Quintet,71.96%,"4,004",3,152,683280
