,Name,Rating,Followers,Online,Peak,id
0,Rock of Ages,87.71%,"7,982",6,"1,371",22230
1,Holiday Time,70.58%,"1,051",0,12,1436600
2,VR SUPER SPORTS,58.87%,964,3,27,593240
3,Premium Bowling,85.97%,936,3,34,898580
4,All-In-One Sports VR,67.13%,870,11,30,1514840
5,PBA Pro Bowling,70.71%,511,0,92,1126990
6,AVATARIKA,45.41%,326,0,99,583740
7,Zombie Bowl-o-Rama,79.63%,315,0,17,32160
8,PBA Pro Bowling 2021,62.26%,273,8,22,1415920
9,Galactic Bowling,42.83%,214,0,4,20200
12,VR Mini Bowling,68.10%,118,0,7,736340
13,Pure Bowl VR,55.69%,56,0,3,1585930
15,Bolf,57.39%,42,0,2,1176970
16,Ball Adventure Ball Simulator,65.03%,39,1,6,1611510
17,HyperBowl,80.72%,38,0,6,847530
18,10 Pin Bowling (VR Support),-,31,0,1,787580
19,PePiBo: Peregrino Pinata Bowling,67.06%,26,0,1,1503270
20,Alley Catz Bowling,72.17%,24,0,6,1689930
21,Bomb Bowling 2,64.08%,24,0,2,1161680
22,VR Mini Bowling 2,59.60%,20,0,3,1257190
23,EPEJSODION Lodge,59.42%,16,0,3,1519530
25,Knockout Bowling VR,35.92%,10,0,1,1184190
26,Puzzle Bowling,44.31%,7,0,2,1432110
