,Name,Rating,Followers,Online,Peak,id
0,Among Us,92.14%,"273,117","14,733","447,476",945360
1,Deceit,77.94%,"154,444",825,"16,923",466240
2,Project Winter,82.05%,"90,191",407,"38,794",774861
3,In Silence,78.21%,"43,802",59,"2,396",1361000
4,Town of Salem,87.38%,"37,418",395,"3,787",334230
5,Dread Hunger,82.32%,"22,406",201,614,1418630
6,SpyParty,79.06%,"21,462",7,307,329070
7,Unfortunate Spacemen,84.52%,"20,876",156,"11,823",408900
8,First Class Trouble,78.33%,"16,388",59,"1,271",953880
9,The Jackbox Party Pack 6,90.76%,"12,568",207,"6,630",1005300
10,恐惧之间 Fear surrounds,85.77%,"12,454","2,457","7,373",1526490
11,Killer: Infected One of Us,50.00%,"7,096",0,240,1453840
12,Agrou,85.85%,"6,182",101,755,1305420
14,Throne of Lies®: Medieval Politics,75.78%,"5,539",26,"1,381",595280
15,Enemy On Board,71.54%,"4,034",0,891,999860
16,MINDNIGHT,81.64%,"3,447",16,422,667870
17,Untrusted,80.39%,"3,185",26,335,1502660
18,Goose Goose Duck,85.60%,"3,114",345,907,1568590
19,Castaway Paradise - live among the animals,69.99%,"3,095",1,57,304950
20,Island of Deception,59.01%,"2,280",0,117,769720
22,Wolflord - Werewolf Online,79.12%,"1,784",0,"2,233",657730
23,Werewolves Within™,60.29%,"1,693",0,16,488950
25,Stowaway,72.93%,"1,585",0,128,1428470
26,Split or Steal,76.19%,"1,267",4,"1,076",1162930
27,Sentience,72.63%,973,0,58,1352540
28,Bitten! Someone has to be a villain,66.62%,871,0,11,1639530
29,Jin Conception,47.22%,414,0,5,1520090
30,Hunt: The Unknown Quarry,58.79%,407,0,16,528450
32,Werewolf Voice - Ultimate Werewolf Party,60.10%,318,3,130,1153880
34,Flirt,50.64%,256,0,29,1225110
35,Paper Pirates,78.91%,232,1,15,1234220
37,Nightfall,57.31%,206,0,24,1458420
39,Killer Inside Us,78.21%,200,0,12,1440280
40,Prank Call,70.08%,198,0,14,1442480
41,The Mutineer,73.19%,178,0,5,1385670
42,Similo: The Card Game,66.94%,137,0,9,1387170
43,Escape Mind,84.40%,119,0,4,1138910
44,Crafty,64.08%,112,0,5,1505670
45,"1, 2 BLAME!",74.19%,89,0,10,1556920
46,Accident On the Simple Rd,60.28%,88,2,16,1491550
48,Planet,54.17%,78,0,3,1044180
50,DICHOTOMY,-,74,0,1,1306910
52,Space Betrayers,-,58,0,2,666170
53,SPYCITY,75.64%,52,0,10,1596580
54,COUNTDOWN,72.17%,46,0,9,1445370
57,Coveneth,59.42%,30,0,7,1501830
59,Mimir's Recruit,76.90%,22,0,3,1682450
66,Nightfall - Supporter Taunt Pack 1,-,-,-,-,1553101
67,Nightfall - Supporter Hat Pack 1,-,-,-,-,1553100
68,Similo: Spookies,-,-,-,-,1400551
69,Similo: Fables,-,-,-,-,1394232
70,Similo: Myths,-,-,-,-,1394231
71,Similo: History,59.42%,-,-,-,1394230
72,Unfortunate Spacemen - Death Proof Edition,75.10%,-,-,-,1349010
73,Wolflord Supporter's Package,59.42%,-,-,-,718130
