,Name,Rating,Followers,Online,Peak,id
0,Euro Truck Simulator 2,96.64%,"659,530","21,853","61,081",227300
1,Fall Guys: Ultimate Knockout,82.27%,"615,530","11,915","172,213",1097150
2,Call of Duty®: Modern Warfare® 2,90.98%,"378,221",396,"22,614",10180
4,Hollow Knight,95.74%,"267,383","6,632","11,992",367520
5,Devil May Cry 5,92.69%,"218,904",513,"88,894",601150
6,KurtzPel,62.65%,"214,588",363,"11,937",844870
7,Wolcen: Lords of Mayhem,55.62%,"192,095",841,"127,542",424370
8,Dirty Bomb®,80.02%,"176,211",182,"13,113",333930
9,TEKKEN 7,81.66%,"166,853","3,602","18,966",389730
10,DRAGON BALL FighterZ,88.11%,"166,488","3,319","44,303",678950
11,Forza Horizon 4,81.51%,"157,869","5,944","40,399",1293830
12,Castle Crashers®,94.63%,"146,567",539,"16,013",204360
13,Brawlhalla,83.87%,"139,643","23,535","34,816",291550
14,Assetto Corsa,89.38%,"136,976","5,825","11,691",244210
15,Stick Fight: The Game,91.92%,"133,731",910,"5,147",674940
16,Overcooked! 2,88.62%,"132,171","1,083","11,213",728880
17,Call of Duty®: Black Ops II,83.95%,"123,438",217,"18,277",202970
18,Project CARS,76.53%,"122,097",162,"10,688",234630
19,Ori and the Blind Forest: Definitive Edition,94.23%,"119,117",396,"9,079",387290
20,JUMP FORCE,71.10%,"118,753",318,"9,885",816020
21,ACE COMBAT™ 7: SKIES UNKNOWN,83.65%,"115,196",309,"13,758",502500
22,Pummel Party,88.19%,"106,280","1,470","17,021",880940
23,Street Fighter V,61.72%,"105,435","2,037","14,783",310950
24,Quantum Break,83.74%,"105,279",57,"2,719",474960
25,DRAGON BALL Z: KAKAROT,90.86%,"104,226","1,413","25,852",851850
26,DRAGON BALL XENOVERSE,86.44%,"97,809",55,"22,850",323470
27,Bless Unleashed,51.88%,"96,298","25,823","76,342",1254120
28,STAR WARS™: Squadrons,69.41%,"92,882",212,"36,492",1222730
29,NARUTO TO BORUTO: SHINOBI STRIKER,83.04%,"91,393","1,383","6,310",633230
30,Project Winter,82.04%,"90,175",192,"38,794",774861
31,GRID 2,81.99%,"89,602",200,"27,339",44350
32,Awesomenauts - the 2D moba,83.28%,"88,611",201,"12,156",204300
33,ABZU,90.74%,"83,796",17,"1,329",384190
34,Project CARS 2,77.98%,"81,861",673,"6,775",378860
35,My Friend Pedro,93.79%,"81,141",63,"7,117",557340
36,Mordheim: City of the Damned,68.78%,"79,481",174,"2,715",276810
37,Tom Clancy’s Splinter Cell Blacklist,81.99%,"73,430",83,"6,146",235600
38,DiRT Rally 2.0,82.29%,"72,033","1,152","3,533",690790
39,Hob,85.99%,"71,500",7,"1,179",404680
40,Call of Duty®: Modern Warfare® Remastered,61.31%,"70,885",56,"1,409",393080
41,The Ascent,75.74%,"69,539","3,158","14,013",979690
42,Assetto Corsa Competizione,87.72%,"68,542","2,051","6,926",805550
43,Starpoint Gemini Warlords,71.86%,"67,738",28,"1,260",419480
44,Crash Bandicoot™ N. Sane Trilogy,90.31%,"66,939",196,"3,755",731490
45,SpeedRunners,91.84%,"65,857",337,"17,212",207140
46,Assassin's Creed 2 Deluxe Edition,86.68%,"63,599",216,"3,617",33230
47,Farm Together,91.62%,"62,501",694,"3,671",673950
48,Tooth and Tail,77.33%,"59,962",13,"1,975",286000
49,Sherlock Holmes: The Devil's Daughter,77.30%,"59,836",108,"2,968",350640
50,RaceRoom Racing Experience,69.56%,"58,746",650,"2,630",211500
51,Call of Duty®: Black Ops,88.38%,"58,545",599,"63,343",42700
52,GrandChase,55.07%,"58,440","12,414","79,883",985810
53,Attack on Titan / A.O.T. Wings of Freedom,81.82%,"58,234",12,"2,191",449800
54,Praey for the Gods,82.43%,"56,655",4,428,494430
55,Dungeons & Dragons: Dark Alliance,50.41%,"56,437",121,"9,912",623280
56,Hitman: Absolution™,89.38%,"55,610",169,"26,137",203140
57,EA SPORTS™ FIFA 21,73.38%,"55,258","23,640","44,388",1313860
58,Conqueror's Blade,73.45%,"54,881","3,425","15,008",905370
59,Skullgirls 2nd Encore,91.97%,"54,613",426,"4,016",245170
60,Devil May Cry 4 Special Edition,88.21%,"54,300",72,"4,500",329050
61,DC Universe™ Online,77.91%,"54,271",696,"17,701",24200
62,Torchlight III,47.87%,"54,209",93,"5,692",1030210
63,One Piece Pirate Warriors 3,78.31%,"53,627",61,"4,274",331600
64,Batman™: Arkham Origins,85.56%,"53,530",387,"25,017",209000
65,NBA 2K20,50.89%,"52,756","1,765","48,375",1089350
66,Injustice™ 2,82.94%,"52,355",277,"1,873",627270
67,Hero Siege,75.23%,"50,275",456,"4,177",269210
68,Sniper: Ghost Warrior 2,72.93%,"48,950",77,"3,629",34870
69,Rodina,88.27%,"48,780",1,224,314230
70,Victor Vran ARPG,83.87%,"48,282",20,"2,485",345180
71,SimplePlanes,89.49%,"47,929",169,885,397340
72,DiRT 4,76.35%,"47,681",215,"4,396",421020
73,Momodora: Reverie Under The Moonlight,91.08%,"47,643",32,693,428550
74,NBA 2K19,39.68%,"47,316",226,"29,202",841370
75,Batman: Arkham City - Game of the Year Edition,93.83%,"45,900",526,"6,871",200260
76,Bastion,93.77%,"45,859",55,"4,186",107100
77,Touhou Luna Nights,94.90%,"45,566",29,"1,368",851100
78,eFootball PES 2020,69.53%,"45,528","1,164","21,018",996470
79,Gigantic,73.78%,"45,427",0,"8,303",327690
80,Project Wingman,91.29%,"45,183",128,"2,113",895870
81,Brothers - A Tale of Two Sons,92.84%,"45,048",12,"2,019",225080
82,Need For Speed: Hot Pursuit,80.64%,"44,731",71,"3,005",47870
84,SoulWorker - Anime Action MMO,78.02%,"43,516",4,"11,017",630100
85,Furi,88.16%,"43,371",47,640,423230
86,Rivals of Aether,92.50%,"43,350",473,"2,922",383980
87,Unrailed!,90.33%,"43,271",319,"9,852",1016920
88,Assassin’s Creed® Brotherhood,87.14%,"42,640",150,"3,848",48190
