,Name,Rating,Followers,Online,Peak,id
0,Counter-Strike,96.24%,"180,360","9,711","319,586",10
1,Generation Zero®,64.88%,"137,603",507,"11,416",704270
2,Hotline Miami 2: Wrong Number,91.21%,"74,917",253,"18,950",274170
3,Duck Game,94.36%,"53,686",441,"5,047",312530
4,Wolfenstein: Youngblood,46.42%,"45,940",232,"6,582",1056960
5,Kung Fury,95.76%,"41,752",1,417,374570
7,Hotline Miami,95.69%,"40,291",146,"6,878",219150
8,Sub Rosa,77.09%,"33,438",51,283,272230
9,Journey To The Savage Planet,83.54%,"29,909",35,"2,162",973810
10,Grand Theft Auto: Vice City,90.59%,"27,825",517,"1,239",12110
11,Beat Cop,80.12%,"25,407",14,526,461950
12,Far Cry 3 - Blood Dragon,86.84%,"21,337",21,"5,485",233270
13,Mega Man Legacy Collection,81.85%,"19,543",21,484,363440
14,RAD,72.96%,"18,937",13,580,722560
15,Radical Heights,59.93%,"18,260",0,"12,757",809960
16,Capcom Arcade Stadium,36.88%,"14,040",13,642,1515950
17,Empire TV Tycoon,73.70%,"13,493",3,296,377900
18,Ghosts 'n Goblins Resurrection,80.34%,"11,296",7,257,1375400
19,Maximum Action,86.85%,"11,221",14,132,853770
20,Black Future '88,75.53%,"10,302",3,120,751820
21,Crossing Souls,76.18%,"10,158",3,196,331690
22,The Gallery - Episode 1: Call of the Starseed,80.31%,"9,846",2,73,270130
23,Pinball FX3,84.58%,"9,633",170,835,442120
24,Friday the 13th: Killer Puzzle,90.38%,"9,552",25,"1,674",795100
25,Stories Untold,84.15%,"9,359",5,374,558420
26,The friends of Ringo Ishikawa,83.69%,"9,273",3,414,846110
27,HROT,92.68%,"8,640",23,258,824600
28,I am not a Monster: First Contact,75.67%,"8,309",8,"1,551",826600
29,Kung Fury: Street Rage,86.15%,"8,281",0,224,373180
30,New Retro Arcade: Neon,76.39%,"8,068",3,51,465780
31,The Darkside Detective,90.60%,"7,837",17,230,368390
32,Duck Season,79.92%,"7,779",3,83,503580
33,Contraband Police: Prologue,84.71%,"7,549",68,446,1396240
34,Pinball Arcade,70.88%,"7,478",30,417,238260
35,Narita Boy,77.99%,"7,415",4,225,1069530
36,The Warlock of Firetop Mountain,72.53%,"6,907",2,264,324740
37,Neon Drive,80.46%,"6,893",2,138,433910
39,Retro City Rampage™ DX,84.58%,"6,725",1,"1,035",204630
40,Age of Barbarian Extended Cut,74.44%,"6,671",1,45,402880
41,Stranger Things 3: The Game,82.98%,"6,668",2,95,1097800
42,Buddy Simulator 1984,90.27%,"6,324",40,280,1269950
43,PAC-MAN™ Championship Edition DX+,92.30%,"6,185",12,"3,694",236450
44,Atari Vault,79.16%,"5,912",7,122,400020
45,WASTED,72.98%,"5,887",5,596,327510
46,The Occupation,60.99%,"5,720",0,115,765880
47,Retrowave,92.89%,"5,673",10,638,1239690
48,Maize,76.25%,"5,356",1,266,284240
50,Castlevania Anniversary Collection,78.20%,"4,778",10,85,1018010
51,King of Dragon Pass,76.48%,"4,688",5,"1,599",352220
54,Hyper Jam,85.25%,"4,293",4,139,556050
55,A Summer's End - Hong Kong 1986,91.11%,"4,086",5,101,1111370
56,Robo Terror,31.85%,"4,071",0,3,1353860
57,Double Dragon: Neon,74.50%,"4,071",1,208,252350
58,The Eternal Castle [REMASTERED],81.89%,"4,006",1,49,963450
59,Panzer Paladin,69.94%,"3,943",8,106,975510
60,OutDrive,73.68%,"3,869",2,"1,391",441870
62,Mainframe Defenders,87.55%,"3,648",10,35,1184810
63,Murder House,90.78%,"3,645",6,119,1064460
64,Alex Kidd in Miracle World DX,79.55%,"3,543",5,174,1333470
65,198X,71.84%,"3,491",1,77,1086010
66,Super Win the Game,83.27%,"3,306",2,"3,001",310700
69,Slipstream,82.54%,"3,164",1,145,732810
70,Slayaway Camp,89.40%,"3,109",4,186,530390
71,Wasteland 1 - The Original Classic,74.79%,"3,049",0,95,259130
72,Unicorn Dream,43.47%,"3,048",0,2,1353880
73,WestLand Adventure,47.41%,"3,037",0,4,1353870
74,The Gallery - Episode 2: Heart of the Emberstone,79.10%,"2,937",0,67,526140
75,Infinitode 2 - Infinite Tower Defense,81.86%,"2,870",113,"1,022",937310
76,Möbius Front '83,69.61%,"2,865",4,250,971160
77,Karate Master 2 Knock Down Blow,79.60%,"2,849",2,161,347670
78,Dead Pixels II,-,"2,825",0,5,259000
79,Neon Boost,86.13%,"2,771",12,107,1057850
81,Capsa,55.65%,"2,756",0,32,588120
82,Anniversary Collection Arcade Classics,62.04%,"2,731",2,46,1018000
83,Battle Princess Madelyn,67.61%,"2,729",0,39,603930
84,Not For Broadcast: Prologue,87.32%,"2,699",2,31,1201400
85,Double Dragon Trilogy,54.85%,"2,652",1,159,314150
86,Vicewave 1984,66.35%,"2,504",0,15,1426790
87,Dragon's Lair,74.09%,"2,460",0,177,227380
89,Comet 64,71.19%,"2,359",4,81,1397290
90,Willy Morgan and the Curse of Bone Town,83.86%,"2,338",3,74,1097110
91,Mambo Wave,78.44%,"2,174",0,7,1478030
92,Majestic Nights,58.98%,"2,147",0,36,284140
93,Lucky day,55.69%,"2,097",0,2,1686900
94,Lucius Demake,86.38%,"2,086",1,49,364230
95,Insanity's Blade,70.30%,"2,068",0,14,334190
96,Sky Knights,87.38%,"2,055",0,54,595430
97,Artifact Adventure,68.57%,"2,002",1,38,359440
99,Saturday Morning RPG,73.49%,"1,964",0,977,263320
