,Name,Rating,Followers,Online,Peak,id
0,Elite Dangerous,76.49%,"294,208","4,247","28,923",359320
1,DCS World Steam Edition,81.70%,"187,112","1,242","3,044",223750
2,Assetto Corsa,89.38%,"137,103","6,661","11,691",244210
3,Arma 2,80.27%,"134,419",2,991,33900
4,DiRT Rally,85.98%,"126,732",301,"20,343",310560
5,Project CARS,76.54%,"122,090",191,"10,688",234630
6,Microsoft Flight Simulator,73.73%,"89,766","6,483","61,829",1250410
7,DiRT Rally 2.0,82.30%,"72,056","1,438","3,533",690790
8,Train Simulator 2021,66.61%,"63,297","1,245","3,821",24010
9,IL-2 Sturmovik: Battle of Stalingrad,77.45%,"35,755",383,"1,061",307960
10,OMSI 2: Steam Edition,80.99%,"24,532",956,"2,213",252530
11,X-Plane 10 Global - 64 Bit,67.40%,"21,470",2,439,292180
12,Aerofly FS 2 Flight Simulator,74.93%,"17,879",29,109,434030
13,Evochron Legacy SE,76.02%,"14,603",4,198,398170
14,Evochron Mercenary,72.90%,"13,003",0,774,71000
15,Euro Fishing,61.82%,"10,633",4,414,314520
16,Euro Truck Simulator,79.37%,"10,599",19,282,232010
17,Rise of Flight United,53.80%,"8,571",17,236,244050
18,On The Road - Truck Simulator,50.20%,"7,936",7,81,285380
19,IL-2 Sturmovik: 1946,84.88%,"6,499",39,146,15320
20,Iron Front: Digital War Edition,59.05%,"6,022",0,485,91330
21,Take On Helicopters,55.44%,"4,025",3,248,65730
22,Vector 36,75.99%,"3,510",1,31,346460
23,Wings of Prey,63.34%,"3,222",6,"2,474",45300
24,X3: Albion Prelude,88.37%,"2,659",88,"1,917",201310
25,Lunar Flight,77.68%,"2,554",0,"1,015",208600
26,Starfighter Origins Remastered,49.06%,"2,047",0,9,564950
27,ZUSI 3 - Aerosoft Edition,82.54%,"1,862",49,94,1040730
28,BOMB: Who let the dogfight?,59.83%,"1,072",0,19,301500
29,Motoride Rollercoaster VR,70.13%,112,3,3,1346890
31,Train Simulator: Epic Journeys,-,-,-,-,370960
32,FSX: Steam Edition - Battle of Britain: Spitfire Add-On,64.73%,-,-,-,360350
33,FSX: Steam Edition - Piper PA-34-200T Seneca II Add-On,58.75%,-,-,-,355341
34,FSX: Steam Edition - Cargo Crew Add-On,55.52%,-,-,-,343959
35,Train Simulator: WCML Trent Valley Route Add-On,74.85%,-,-,-,325954
36,Train Simulator: LNER Peppercorn Class A2 'Blue Peter' Loco Add-On,78.44%,-,-,-,277771
37,Train Simulator: CRH380D EMU Add-On,49.32%,-,-,-,277770
38,Train Simulator: CSX AC6000CW Loco Add-On,73.87%,-,-,-,277769
39,Train Simulator: The Rhine Railway: Mannheim - Karlsruhe Route Add-On,59.38%,-,-,-,277768
40,Train Simulator: Chengdu - Suining High Speed Route Add-On,67.05%,-,-,-,277767
41,Train Simulator: Network SouthEast Class 415 '4EPB' EMU Add-On,75.44%,-,-,-,277765
42,Train Simulator: Amtrak P30CH Loco Add-On,64.76%,-,-,-,277764
43,Train Simulator: Grand Central Class 180 'Adelante' DMU Add-On,76.76%,-,-,-,277763
44,Train Simulator: CSX NRE 3GS-21B 'Genset' Loco Add-On,80.00%,-,-,-,277762
45,Train Simulator: Midland Main Line London-Bedford Route Add-On,70.81%,-,-,-,277760
46,Train Simulator: Union Pacific GP30 Loco Add-On,72.86%,-,-,-,277759
47,Train Simulator: MRCE BR 185.5 Loco Add-On,70.68%,-,-,-,277758
48,Train Simulator: Seaboard GE U36B Loco Add-On,75.86%,-,-,-,277757
49,Train Simulator: Miami Commuter Rail F40PHL-2 Loco Add-On,72.22%,-,-,-,277756
50,Train Simulator: DB BR 605 ICE TD Add-On,63.44%,-,-,-,277755
51,The Game of Gnomes,75.41%,-,-,-,277754
52,Train Simulator: GWR Small Prairies Loco Add-On,79.05%,-,-,-,277753
53,Train Simulator: Miami - West Palm Beach Route Add-On,62.09%,-,-,-,277752
54,The Count of Monster Disco,69.91%,-,-,-,277751
55,Train Simulator: BR Class 07 Loco Add-On,63.89%,-,-,-,277749
56,Train Simulator: West Highland Line Extension Route Add-On,81.30%,-,-,-,277748
57,Train Simulator: Los Angeles Commuter Rail F59PH Loco Add-On,62.49%,-,-,-,277747
58,Train Simulator: GWR Class 14XX Loco Add-On,82.70%,-,-,-,277745
59,Train Simulator: The Story of Forest Rail Route Add-On,68.30%,-,-,-,277742
60,Train Simulator: DB BR 103 TEE Loco Add-On,63.91%,-,-,-,277741
61,Train Simulator: Union Pacific FEF-3 Loco Add-On,86.42%,-,-,-,277740
62,Train Simulator: West Rhine: Köln - Koblenz Route Add-On,70.92%,-,-,-,277739
63,Train Simulator: BR Regional Railways Class 101 DMU Add-On,74.00%,-,-,-,277736
64,Train Simulator: Class 2F Dock Tank Loco Add-On,67.93%,-,-,-,277735
