,Name,Rating,Followers,Online,Peak,id
0,American Truck Simulator,94.81%,"315,375","6,123","19,153",270880
1,Portal 2,97.64%,"303,997","2,101","98,460",620
2,Besiege,93.79%,"281,869",245,"11,206",346010
3,BattleBlock Theater®,95.55%,"136,292",159,"14,781",238460
4,Command & Conquer™ Remastered Collection,89.10%,"91,422",800,"42,587",1213210
5,Ultimate Chicken Horse,94.12%,"90,370",331,"2,744",386940
6,Poly Bridge,89.25%,"84,383",100,"4,134",367450
7,Geometry Dash,92.77%,"75,913","8,376","13,491",322170
8,Hotline Miami 2: Wrong Number,91.21%,"74,917",238,"18,950",274170
9,Contagion,70.61%,"73,462",39,"7,624",238430
10,Clustertruck,89.91%,"66,026",68,"2,658",397950
11,SpeedRunners,91.84%,"65,857",347,"17,212",207140
12,Train Simulator 2021,66.61%,"63,290",820,"3,821",24010
13,Titan Quest Anniversary Edition,89.37%,"61,234",698,"11,043",475150
14,Parkitect,91.11%,"60,388",263,"1,400",453090
15,Forts,87.39%,"60,055",331,"7,280",410900
16,TaleSpire,89.71%,"53,433",261,"1,416",720620
17,Door Kickers,91.89%,"52,964",29,"2,041",248610
18,Rise to Ruins,86.68%,"52,283",61,"1,469",328080
19,Factory Town,87.50%,"51,365",75,"2,648",860890
20,Age of Empires III: Definitive Edition,73.44%,"51,124","2,833","20,146",933110
21,War for the Overworld,83.21%,"50,085",67,"2,227",230190
22,Distance,89.67%,"48,822",29,463,233610
23,Call to Arms - Gates of Hell: Ostfront,75.73%,"48,556",510,"2,704",400750
24,Bridge Constructor Portal,87.69%,"48,377",25,"1,745",684410
25,Legend of Grimrock 2,87.41%,"41,870",41,"4,146",251730
26,Aperture Tag: The Paint Gun Testing Initiative,78.91%,"39,778",12,913,280740
27,Toki Tori,83.94%,"39,178",6,"4,511",38700
28,DUSK,95.32%,"35,966",133,551,519860
29,Mashinky,85.89%,"34,212",37,"1,622",598960
30,Primal Carnage: Extinction,78.35%,"33,991",124,874,321360
31,Door Kickers 2: Task Force North,93.08%,"32,312",259,784,1239080
32,Men of War: Assault Squad,85.11%,"31,975",56,"1,490",64000
33,Far Cry® 2: Fortune's Edition,75.62%,"30,393",126,"2,420",19900
34,Murder Miners,82.95%,"28,433",12,"1,769",274900
35,Golf It!,86.41%,"28,101","1,541","2,791",571740
36,Rhythm Doctor,95.45%,"28,054",67,"2,892",774181
37,A Dance of Fire and Ice,91.57%,"23,883",749,"9,330",977950
38,Prodeus,92.74%,"22,267",19,547,964800
39,Trackmania® Turbo,63.21%,"22,035",17,"2,085",375900
40,Door Kickers: Action Squad,91.46%,"21,619",30,"2,454",686200
41,Guts and Glory,77.77%,"21,480",7,257,537340
42,Creeper World 4,91.06%,"21,246",419,"3,828",848480
43,Fight The Dragon,75.73%,"20,619",1,754,250560
45,Gunpoint,94.63%,"20,375",6,"2,647",206190
46,Hammerwatch,87.00%,"19,516",23,"3,253",239070
47,Shadwen,72.94%,"19,028",1,121,425210
48,Days of War: Definitive Edition,52.45%,"18,644",1,796,454350
49,Poly Bridge 2,92.68%,"18,405",162,"1,924",1062160
50,The Bus,76.58%,"18,046",29,"1,660",491540
51,Aerofly FS 2 Flight Simulator,74.91%,"17,875",17,109,434030
52,Order of Battle: World War II,73.20%,"17,289",289,"2,171",312450
53,Of Guards And Thieves,82.68%,"16,934",22,425,302590
54,Blockstorm,78.05%,"16,437",0,"1,411",263060
55,Liftoff: FPV Drone Racing,89.26%,"15,008",173,646,410340
56,Legends of Eisenwald,73.32%,"14,967",10,872,246760
57,Build a Game Universe,-,"14,770",0,22,387820
59,Train Valley 2,86.68%,"13,604",100,448,602320
60,TrackMania² Stadium,85.67%,"13,562",134,"3,597",232910
61,SPORE™ Galactic Adventures,84.09%,"13,048",216,"1,517",24720
62,Creeper World 3: Arc Eternal,92.76%,"12,953",236,"3,303",280220
63,WHAT THE GOLF?,90.07%,"11,975",13,317,785790
64,VTOL VR,92.91%,"11,920",89,217,667970
