,Name,Rating,Followers,Online,Peak,id
0,Beat Saber,94.42%,"135,342","1,241","4,472",620980
1,Crypt of the NecroDancer,93.80%,"74,568",221,"2,282",247080
2,Audiosurf 2,79.34%,"20,615",23,473,235800
3,Melody's Escape,89.75%,"18,835",6,370,270210
4,AudioSurf,92.97%,"14,799",13,"5,977",12900
5,APE OUT,90.03%,"10,923",3,128,447150
6,Audioshield,78.17%,"8,922",0,226,412740
7,Beat Hazard,91.76%,"8,370",3,"4,123",49600
8,Beat Hazard 2,83.45%,"8,147",7,439,618740
9,MUSYNX,83.95%,"8,124",76,458,952040
10,Riff Racer - Race Your Music!,80.81%,"5,481",2,95,351990
11,Mutazione,89.72%,"4,707",2,49,1080750
12,BOXVR,76.96%,"4,614",12,64,641960
13,Intralism,84.86%,"3,908",7,"1,854",513510
14,EZ2ON REBOOT : R,72.10%,"3,779",65,"2,768",1477590
15,Motesolo : No Girlfriend Since Birth,81.15%,"3,513",32,367,1414180
16,Wave Beta,86.56%,"3,277",0,482,453000
17,PowerBeatsVR - VR Fitness,82.06%,"2,249",1,35,810500
18,Symphony,80.70%,"2,231",0,833,207750
19,Music Racer,85.78%,"2,010",5,"18,509",893030
20,Soundodger+,84.78%,"1,655",2,97,247140
21,The Polynomial - Space of the music,69.97%,"1,347",0,28,67000
22,Cadence,-,"1,263",0,3,362800
23,Holodance,79.79%,"1,253",0,18,422860
24,TERRORHYTHM (TRRT) - Rhythm driven action beat 'em up!,66.07%,"1,213",0,30,752380
25,SOUNDART,70.65%,"1,183",1,25,1144460
26,Tales From Off-Peak City Vol. 1,90.65%,"1,133",1,27,1129920
27,Incredibox,88.68%,"1,005",18,79,1545450
28,Sentris,60.37%,993,0,17,303530
29,Music Killer,65.93%,976,0,215,930620
30,"Linea, the Game",81.81%,893,0,"5,592",428900
31,Hyperspace Invaders II: Pixel Edition,76.08%,765,0,216,397690
32,Hacker's Beat,50.62%,764,0,9,363650
33,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),31.55%,744,0,"2,837",15540
34,KickBeat Steam Edition,64.13%,673,0,376,255370
35,Expand,82.17%,663,0,37,399780
36,Dance Collider,76.91%,646,0,9,692690
37,Rhythm Rush!,69.54%,563,0,"1,181",614030
38,VSXu Player,78.57%,519,13,58,981590
39,Metagroove,70.34%,502,0,9,1440450
40,Space Channel 5 VR Kinda Funky News Flash!,80.83%,497,0,12,879140
41,Pattern,70.68%,482,0,7,969540
42,RPG Sounds,82.27%,468,10,26,1480140
44,Melody/心跳旋律,78.76%,465,0,9,1457550
45,Matter,83.43%,465,0,12,978250
46,Pulsen,70.11%,447,0,9,340960
47,Overture Music Visualization,68.20%,439,0,5,1026380
49,Rocking Legend,70.19%,403,0,11,1260800
50,Beat Aim - Rhythm FPS Shooter,76.19%,392,2,15,1142220
51,vrAMP,65.50%,373,0,5,433630
52,MuX,71.55%,372,0,3,673970
53,Sound Shift,75.45%,348,0,14,394140
54,Borealis,58.80%,315,0,332,307170
56,Rhythmic Retro Racer,60.09%,296,0,3,1218230
57,Wave Circles: Rhythm Dance Music,59.06%,290,0,9,1041680
59,Mazetools Soniface Lab,70.84%,249,0,3,766300
60,SpermDash精疲力尽,82.07%,248,0,16,1355880
61,Turba,38.43%,230,0,55,58400
63,RAYBEEM - Live in Your Music,72.17%,212,0,2,631120
64,Conductor: Creative Joy Engine,79.71%,200,0,7,1518940
65,Zenesthetic,50.00%,196,0,4,911840
67,New Year's Eve 2020,67.55%,194,0,407,1204270
68,Crystal Vibes feat. Ott.,63.89%,194,0,2,623040
69,Happy Oshare Time,81.03%,183,0,20,1127130
70,Viral Cry,48.44%,182,0,3,795530
72,Alphabeats: Master Edition,60.54%,175,0,5,420160
73,Nature Relax,71.48%,170,0,5,936030
75,Keysight,74.53%,150,2,9,1325730
77,Run Turn Die,71.00%,149,0,6,413700
78,URO2,70.57%,148,0,3,1161800
79,MusicWave,59.58%,142,0,9,740270
80,La Corda d'Oro Octave - 金色のコルダ オクターヴ,67.06%,140,0,20,862630
81,VRWorkout,70.75%,125,0,4,1346850
82,OCO,78.44%,117,2,8,1165450
83,Aritana and the Twin Masks,64.08%,105,0,3,1556040
84,Mazetools Mutant,67.06%,100,0,2,1174980
85,Beat Blaster,61.97%,98,0,3,1020390
86,BEAT 'EM DOWN,55.52%,91,0,142,1622340
87,Poly World,62.51%,91,0,3,807960
88,Halo Beats!,80.02%,90,0,4,1224900
89,Auto-Staccato,72.17%,86,0,3,697600
90,Quantized,50.00%,85,0,2,465010
91,Super Chains,76.25%,83,0,4,968300
92,Lynium,53.98%,81,0,4,1415010
93,Neon Cyborg Cat Club,79.39%,80,0,3,1367230
94,Music Boy 3D,61.97%,79,0,7,818620
95,Club Lighting,39.72%,78,0,3,965840
96,Beat Ninja,43.95%,77,0,3,493040
97,TECH DEMO: Pulse Forge VR,33.43%,71,0,4,1241160
99,Uranus,79.71%,68,0,2,1410200
