,Name,Rating,Followers,Online,Peak,id
0,Wallpaper Engine,96.92%,"672,048","29,689","66,512",431960
1,House Flipper,90.71%,"194,016","2,094","10,899",613100
2,RPG Maker MV,88.46%,"86,315",833,"2,486",363890
3,Blender,94.92%,"76,255","3,333","5,133",365670
4,Townscaper,95.02%,"54,402",67,"1,089",1291340
5,CPUCores :: Maximize Your FPS,73.02%,"40,938",329,"6,139",384300
6,The Tenants,81.23%,"37,242",308,"4,583",1009560
7,Hidden Folks,93.52%,"29,422",22,763,435400
8,RPG Maker VX Ace,90.82%,"24,023",170,"4,196",220700
9,Negligee,75.54%,"22,088",1,218,432100
10,FlowScape,83.51%,"21,926",6,379,1043390
11,Aseprite,95.95%,"21,740","2,289","2,772",431730
12,Passpartout: The Starving Artist,82.62%,"20,598",27,481,582550
13,Tormentum - Dark Sorrow,89.64%,"18,578",0,129,335000
14,GameMaker Studio 2 Desktop,81.91%,"17,234",302,470,585410
15,SuchArt: Genius Artist Simulator,91.13%,"15,989",71,920,1293180
16,GameGuru,70.02%,"15,799",15,"1,093",266310
17,Fences,56.14%,"15,058",3,21,607380
18,ShareX,91.82%,"14,994",787,"1,173",400040
20,Fuse,62.03%,"14,110",29,504,257400
21,openCanvas 6,81.30%,"13,352",16,86,301610
23,Dungeon Painter Studio,85.54%,"12,518",134,665,592260
24,Pixel Game Maker MV,68.74%,"12,136",42,152,837510
25,AppGameKit Classic: Easy Game Development,79.33%,"11,925",4,"1,007",325180
26,RPG Maker MZ,72.77%,"11,530",253,923,1096900
27,Tilt Brush,89.66%,"11,321",11,233,327140
28,Animaze by FaceRig,53.01%,"9,302",247,664,1364390
29,Black Ink,81.10%,"8,994",3,142,233680
30,VRoid Studio v0.14.0,90.00%,"8,750",537,"1,034",1486350
31,RPG World - Action RPG Maker,67.90%,"8,652",3,39,492150
32,KumaKuma Manga Editor,77.98%,"8,417",1,142,1020820
33,Leadwerks Game Engine,70.42%,"8,020",3,150,251810
34,Castle Flipper,57.93%,"7,867",9,"1,031",944250
35,Krita,89.55%,"7,653",280,431,280680
37,The Tenants - Free Trial,89.24%,"7,211",1,"1,729",1546540
38,Stream Avatars,90.35%,"7,184","1,464","1,825",665300
39,Substance Painter 2020,82.10%,"7,126",112,455,1194110
40,openCanvas 7,74.80%,"6,963",60,249,398810
41,"Movavi Video Suite 17 - Video Making Software - Video Editor, Video Converter, Screen Capture, and more",78.14%,"6,731",126,757,795630
42,NewCity,76.95%,"6,654",6,92,1067860
43,Onii-chan Asobo,68.16%,"6,287",0,47,954610
44,Manga Maker Comipo,73.14%,"6,262",14,144,262490
47,Home Design 3D,77.25%,"5,725",91,240,420000
49,3DCoat 4.9,80.60%,"5,546",9,37,100980
50,Desktop Magic Engine,70.59%,"5,308",41,752,1096550
51,Hidden Through Time,89.02%,"5,289",12,229,524910
52,King of Retail,88.77%,"5,039",390,951,968250
53,Live Wallpaper Master,68.97%,"4,822",50,168,597840
54,SMILE GAME BUILDER,81.78%,"4,795",12,45,483950
55,Spriter Pro,72.95%,"4,793",4,155,332360
56,001 Game Creator,70.59%,"4,765",10,42,347400
57,RealityCapture Steam Edition,67.91%,"4,593",7,131,489180
58,Substance Painter 2018,77.69%,"4,570",7,256,744570
59,Substance 3D Painter 2021,61.07%,"4,381",170,343,1454900
60,SRPG Studio,76.27%,"4,165",19,67,857320
61,Selma and the Wisp,67.83%,"4,117",0,7,495980
63,Agent A: A puzzle in disguise,91.49%,"4,052",4,125,801480
65,Movavi Video Editor Plus 2020 - Video Editing Software,79.66%,"3,968",71,180,1182920
66,Pixel Studio for pixel art,90.54%,"3,900",65,138,1204050
67,Marmoset Toolbag 3,86.55%,"3,799",33,105,550060
68,Marmoset Hexels 3,83.88%,"3,781",10,100,428340
69,Complete Figure Drawing Course HD,71.76%,"3,721",0,27,494900
70,Houdini Indie,84.13%,"3,566",55,111,502570
71,Axis Game Factory's AGFPRO v3,60.99%,"3,469",0,75,253370
72,Ultimate Desktop Character Engine,54.17%,"3,460",1,14,979010
73,Roomie Romance,68.69%,"3,430",0,34,467720
74,Camtasia - Subscription,68.45%,"3,399",0,59,253050
75,GeoVox,50.00%,"3,391",0,8,368470
76,RPG Maker 2003,84.56%,"3,349",35,141,362870
77,S2ENGINE HD,69.34%,"3,300",0,14,443970
78,Substance Painter 2019,77.96%,"3,298",23,290,978680
79,CopperCube 6 Game Engine,74.87%,"3,257",5,31,857350
81,Coloring Game,89.04%,"3,200",39,593,1026820
82,Easy Pose,87.80%,"3,143",77,142,979710
83,"MovieMator Video Editor Pro - Movie Maker, Video Editing Software",58.41%,"3,103",16,42,919280
84,Umurangi Generation,87.47%,"3,078",3,47,1223500
85,MasterpieceVR,71.16%,"3,066",0,26,504650
86,Neos VR,82.61%,"2,992",182,432,740250
87,MyRPG Master,36.93%,"2,886",0,17,329890
88,Love in the Limelight,78.37%,"2,828",0,56,1006250
90,Gravity Sketch,69.88%,"2,792",6,28,551370
91,RutonyChat,74.72%,"2,755",432,784,524660
93,Nimble Writer,82.25%,"2,739",42,80,348200
94,RPG in a Box,82.56%,"2,738",2,10,498310
95,Wayout,83.63%,"2,698",0,785,551110
96,Substance B2M3,78.45%,"2,661",0,20,325910
97,"Movavi Video Suite 18 - Video Making Software - Edit, Convert, Capture Screen, and more",75.36%,"2,570",51,261,973600
98,Coloring Game 2,92.88%,"2,348",55,502,1216200
