,Name,Rating,Followers,Online,Peak,id
0,Keep Talking and Nobody Explodes,94.99%,"105,733",179,"1,767",341800
2,Panoptic,87.02%,"2,765",2,25,541930
3,Reiko's Fragments,71.98%,"2,504",1,31,1171240
4,V-Racer Hoverbike,82.50%,"2,383",0,12,668430
5,Takelings House Party,71.34%,"2,131",1,30,868150
6,The Persistence,67.82%,"1,779",0,32,1140100
7,Mass Exodus Redux,72.58%,"1,491",1,26,566530
8,VR The Diner Duo,88.78%,"1,311",1,53,530120
9,Fast and Low,73.95%,"1,252",8,42,1097620
10,Ayahuasca,76.68%,"1,235",0,11,1212940
12,Containment Initiative,82.36%,890,1,19,527700
13,Carly and the Reaperman - Escape from the Underworld,82.78%,805,0,14,547480
14,Black Hat Cooperative,67.97%,765,0,11,503100
15,Late For Work,77.01%,658,0,8,623540
16,Eye in the Sky,82.20%,655,0,8,566700
17,Citor3 Hallucinations VR Adult XXX Game,60.90%,612,0,8,1548600
18,Operation Armstrong,70.57%,594,0,5,1145490
20,Acron: Attack of the Squirrels!,82.71%,535,2,25,1094870
21,Traffic Jams,76.12%,525,0,14,1301930
22,Under Lock,60.59%,495,0,31,1279330
23,Nemesis Perspective,79.05%,391,0,8,537140
24,Pizza Master VR,74.62%,311,0,10,1247720
25,SMUSH.TV - Competitive VR x PC Action,78.75%,273,0,9,912920
26,Hide & Spook: The Haunted Alchemist,77.62%,228,0,6,466900
27,Nemesis Realms,62.00%,202,0,5,716750
28,KILLING A SUPERSTAR,57.18%,158,0,2,1490850
29,Automata Break,76.34%,139,0,4,1322010
30,Seeker: My Shadow,-,130,0,2,1253930
32,Sommad,71.94%,116,0,4,676470
33,Motoride Rollercoaster VR,70.13%,112,2,3,1346890
34,Bulk Dominoes VR: Kinetic Rush,65.93%,98,0,3,1244140
35,Burrow,-,89,0,1,779500
36,Wacktory,67.20%,88,0,5,1082750
37,A Ton Of Feathers,74.51%,81,0,3,1233820
38,Chicks and Tricks VR,68.10%,78,0,4,1134200
39,Beach Ball Valley,75.71%,69,0,11,454830
40,Lost In Ferry VR,73.89%,68,0,2,1226490
41,Broken Dungeon,62.51%,65,0,2,1530020
42,Tsuro - The Game of The Path - VR Edition,67.06%,59,0,4,1111960
43,Potato Party: Hash It Out,72.17%,58,0,2,1435960
44,VR Party Club,66.62%,55,0,2,949150
45,Country Road VR,62.10%,52,0,2,1188140
47,Groove Fit Kingdom!,67.93%,50,1,4,1358860
48,Darkness Rollercoaster - Ultimate Shooter Edition,47.89%,49,0,3,1142850
49,PT+,72.17%,46,0,1,1290390
50,Learn Spanish VR,64.08%,44,0,1,1378840
51,Powerboat VR,50.00%,43,0,3,1470270
53,Dream Mirror,50.00%,41,0,2,1682950
54,HeadCount,68.15%,41,0,2,1532080
56,illuminati Simulator VR,55.69%,36,0,2,1361470
57,OUBEY VR - Samurai,64.78%,35,0,1,1373310
58,Planets Battle,37.49%,30,0,2,1607850
59,OUBEY VR – Cosmic Voyage,54.17%,30,0,2,1382710
60,"Lights, Camera, Reaction!",57.39%,28,0,1,1222000
61,Dream Catchers,64.08%,27,0,1,1586010
62,FreeDraw,55.69%,27,0,2,1539810
63,Shariiing VR,40.58%,27,0,2,1453820
64,Beat the Nightmare – Evil Dreams Simulator VR,-,27,0,1,1441210
65,OUBEY VR – Reise der Monaden,72.17%,26,0,1,1381720
66,Fimbul Winter VR,35.92%,24,0,2,1631950
67,Nuri VR - Coding,-,23,0,1,1448300
68,Polygon World VR,-,21,0,1,1612870
69,Matrix Blocks,59.42%,20,0,1,1337070
70,Tall Order,50.00%,19,0,2,764540
71,Pipe Dreamin' VR: The Big Easy,50.00%,18,0,2,1686150
75,Click and Relax,40.58%,14,0,1,1537960
76,VR Game Station,50.00%,12,0,2,1612980
77,Fairy Bubble,59.42%,12,0,1,1359340
