,Name,Rating,Followers,Online,Peak,id
0,EA SPORTS™ FIFA 21,73.38%,"55,258","21,541","44,388",1313860
1,Dark Deception,88.02%,"24,264",102,336,332950
2,Melody's Escape,89.75%,"18,836",4,370,270210
3,DeadCore,81.52%,"17,939",1,273,284460
4,Mirror's Edge™ Catalyst,81.58%,"17,003",72,"1,446",1233570
5,Phantom Abyss,82.25%,"15,828",40,"1,607",989440
6,Montaro,92.65%,"13,781",3,"1,001",495890
7,TASOMACHI: Behind the Twilight,70.80%,"12,271",1,255,1015890
8,SEUM: Speedrunners from Hell,90.59%,"9,744",12,852,457210
9,Shio,75.38%,"8,633",0,430,525360
10,Super Meat Boy Forever,-,"7,682",0,1,581660
11,Walking Simulator,84.89%,"7,272",18,473,1214280
12,Neon Drive,80.46%,"6,893",2,138,433910
13,In a search of a new home,56.25%,"6,194",0,2,1284510
14,STRIDE + Multiplayer Pass,82.44%,"5,968",15,142,1292040
15,Boss of this gym,87.20%,"5,701",2,13,1396890
16,Retrowave,92.89%,"5,673",10,638,1239690
17,Race The Sun,90.66%,"5,631",4,"6,455",253030
18,Mighty Goose,78.62%,"5,518",3,283,1299360
19,Seen,89.82%,"5,347",12,"1,102",1069740
20,TRON RUN/r,74.27%,"4,720",1,67,392000
21,Running Through Russia,68.58%,"4,672",0,157,604490
22,ALTF4,77.97%,"3,865",71,979,1137460
23,404Sight,80.57%,"3,594",1,255,361630
24,Mekazoo,70.41%,"3,526",0,14,390330
25,The Cat Games,84.46%,"3,331",1,107,603260
26,JumpJet Rex,82.04%,"3,291",0,66,329460
27,Unicorn Dream,43.47%,"3,048",0,2,1353880
28,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,88.45%,"2,923",4,795,218060
29,Vecter,92.48%,"2,821",10,270,1175140
30,Neon Boost,86.13%,"2,771",17,107,1057850
31,Panoptic,87.02%,"2,765",4,25,541930
32,pureya,93.64%,"2,739",1,409,1268960
33,Vector,82.59%,"2,564",1,72,248970
34,I Hate Running Backwards,75.35%,"2,557",1,38,575820
35,FOTONICA,83.15%,"2,555",1,226,253290
36,Dino Run DX,87.17%,"2,526",6,"1,070",248330
37,Nippon Marathon,83.86%,"2,464",4,19,746940
38,BIT.TRIP RUNNER,83.10%,"2,427",1,926,63710
39,Geometry May. I swear it's a nice free game,75.35%,"2,424",1,85,1057430
40,Infinite Jump,71.18%,"2,333",0,80,1547160
41,Action Henk,83.13%,"2,294",1,241,285820
42,Tribal Pass,72.38%,"2,126",1,"1,106",470270
43,Music Racer,85.77%,"2,010",5,"18,509",893030
44,Escape Doodland,76.75%,"1,893",0,60,670930
45,Switchcars,83.93%,"1,893",0,156,442210
46,Moto Racer 4,61.08%,"1,891",2,"3,011",417430
47,Milky Strike,42.82%,"1,885",0,3,1393870
48,Last Room,63.60%,"1,858",13,180,1334010
50,Alchemania,54.31%,"1,654",0,3,1425840
51,Turbo Pug,87.30%,"1,624",4,"15,462",418070
52,Little Racers STREET,78.46%,"1,534",0,183,262690
53,oO,85.30%,"1,513",1,67,367570
54,Runner3,70.50%,"1,488",1,108,516130
55,Montaro RE,90.67%,"1,472",1,45,971680
56,Dead Island Retro Revenge,55.22%,"1,410",2,28,337360
57,Star Sky,73.52%,"1,379",3,38,407020
58,Atomik: RunGunJumpGun,81.54%,"1,327",2,24,440550
59,Unpossible,76.97%,"1,320",0,11,300400
60,Run or Die,78.40%,"1,287",0,70,325150
61,Hanako | 花子さん,69.79%,"1,233",0,100,1400290
63,Last Knight: Rogue Rider Edition,75.99%,"1,136",0,82,262210
64,TAURONOS,79.84%,"1,123",0,5,676240
65,Boson X,87.97%,"1,094",4,549,302610
66,Speed Limit,82.83%,"1,033",0,14,1058280
67,Turbo Pug DX,75.01%,"1,019",3,"40,590",513780
68,MotoRun,31.85%,"1,008",0,3,1375430
69,Mini Kart Racing,55.69%,"1,001",0,2,1673520
70,NO THING,81.17%,971,0,69,444800
71,Skully,55.92%,965,1,31,1249110
72,Joggernauts,76.85%,915,0,36,747620
73,Runbow,74.98%,876,0,21,464650
74,Hunter Girls,75.36%,866,0,7,1683900
75,Void,53.13%,840,0,50,503710
76,Skybolt Zack,83.53%,814,0,23,909670
77,Aerial_Knight's Never Yield,77.77%,812,0,12,1323540
78,Canabalt,78.79%,793,1,33,358960
79,Wild Dive,82.49%,778,3,167,1598010
80,Parkour Game,63.89%,771,0,4,1554960
81,Infinity Runner,62.76%,770,0,131,279920
82,Escape from Naraka,80.76%,756,0,13,1390670
83,7 Bones and 7 Stones - The Ritual,59.08%,754,0,18,712080
84,Rabbit Riot,79.46%,733,0,58,1557230
85,Wonder Boy: Asha in Monster World,76.76%,653,0,17,1420080
86,R18Plus Monster Girl You-ki chan,70.08%,641,0,13,1502110
87,The Caregiver | 終焉介護,74.64%,638,2,99,1503670
88,Razortron 2000,81.04%,638,2,"3,801",539720
89,Vectromirror 0™,77.25%,637,3,30,1296560
90,T.E.C. 3001,83.02%,620,0,921,280910
91,Inertia,79.24%,615,1,18,666330
92,Super Red-Hot Hero,59.60%,612,0,2,485130
93,Monster Girls You-ki Chan,71.25%,609,0,7,1219860
96,Synthwave Dream '85,77.45%,494,0,4,881130
97,Corridor Z,79.49%,482,2,22,636070
98,Nice Jumper,80.34%,478,0,41,1128480
99,Totally Unbalanced,75.34%,469,0,"2,079",487330
