,Name,Rating,Followers,Online,Peak,id
0,Wallpaper Engine,96.92%,"672,048","28,730","66,512",431960
1,Garry's Mod,95.76%,"605,466","28,026","73,863",4000
2,FaceRig,80.11%,"113,112",914,"3,554",274920
3,Source Filmmaker,91.33%,"106,628","1,217","3,975",1840
4,Blender,94.92%,"76,255","3,179","5,133",365670
5,Five Nights at Freddy's 4,89.90%,"40,095",16,"1,675",388090
6,Live2DViewerEX,88.35%,"26,417",178,779,616720
7,FlowScape,83.51%,"21,926",5,379,1043390
8,Aseprite,95.95%,"21,740","2,266","2,772",431730
9,GameMaker Studio 2 Desktop,81.91%,"17,234",304,470,585410
10,CRYENGINE,68.32%,"15,828",0,13,220980
11,GameGuru,70.02%,"15,799",11,"1,093",266310
12,Fuse,62.03%,"14,110",20,504,257400
13,VTube Studio,84.29%,"12,414","1,068","1,867",1325860
14,Pixel Game Maker MV,68.74%,"12,136",43,152,837510
15,AppGameKit Classic: Easy Game Development,79.33%,"11,925",4,"1,007",325180
16,Animaze by FaceRig,53.01%,"9,302",260,664,1364390
17,Black Ink,81.10%,"8,994",2,142,233680
18,Genesis Noir,78.11%,"8,817",2,85,735290
19,VRoid Studio v0.14.0,90.00%,"8,750",534,"1,034",1486350
20,RPG World - Action RPG Maker,67.90%,"8,652",2,39,492150
21,KumaKuma Manga Editor,77.98%,"8,417",2,142,1020820
22,Leadwerks Game Engine,70.42%,"8,020",2,150,251810
23,Song of Memories (Complete Scenario),57.45%,"7,781",0,25,752570
24,Krita,89.55%,"7,653",262,431,280680
25,Stream Avatars,90.35%,"7,184","1,425","1,825",665300
26,Substance Painter 2020,82.10%,"7,126",102,455,1194110
27,"Movavi Video Suite 17 - Video Making Software - Video Editor, Video Converter, Screen Capture, and more",78.14%,"6,731",119,757,795630
28,Manga Maker Comipo,73.14%,"6,262",14,144,262490
29,PrprLive,84.86%,"5,781",386,"1,623",1279610
30,3DCoat 4.9,80.60%,"5,546",9,37,100980
31,Clickteam Fusion 2.5,85.11%,"5,357",109,495,248170
32,Desktop Magic Engine,70.59%,"5,308",37,752,1096550
33,Wakaru ver. beta,82.48%,"5,264",13,71,870820
35,Live Wallpaper Master,68.97%,"4,822",50,168,597840
36,VUP- VTuber & Animation & motion capture & 3D & Live2D,79.17%,"4,803",107,207,1207050
37,Spriter Pro,72.95%,"4,793",7,155,332360
38,001 Game Creator,70.59%,"4,765",9,42,347400
39,RealityCapture Steam Edition,67.91%,"4,593",8,131,489180
40,Substance Painter 2018,77.69%,"4,570",6,256,744570
41,Substance 3D Painter 2021,61.07%,"4,381",152,343,1454900
42,SRPG Studio,76.27%,"4,165",21,67,857320
43,Movavi Video Editor Plus 2020 - Video Editing Software,79.66%,"3,968",64,180,1182920
44,Pixel Studio for pixel art,90.54%,"3,900",64,138,1204050
45,Marmoset Toolbag 3,86.55%,"3,799",25,105,550060
46,Marmoset Hexels 3,83.88%,"3,781",12,100,428340
47,Houdini Indie,84.13%,"3,566",54,111,502570
48,Axis Game Factory's AGFPRO v3,60.99%,"3,469",0,75,253370
49,Ultimate Desktop Character Engine,54.17%,"3,460",1,14,979010
50,Camtasia - Subscription,68.45%,"3,399",0,59,253050
51,GeoVox,50.00%,"3,391",0,8,368470
52,S2ENGINE HD,69.34%,"3,300",1,14,443970
53,Substance Painter 2019,77.96%,"3,298",22,290,978680
54,CopperCube 6 Game Engine,74.87%,"3,257",3,31,857350
56,"MovieMator Video Editor Pro - Movie Maker, Video Editing Software",58.41%,"3,103",17,42,919280
57,MasterpieceVR,71.16%,"3,066",0,26,504650
58,Neos VR,82.61%,"2,992",175,432,740250
59,Desktop Mascot Engine,59.03%,"2,948",0,29,821060
60,MyRPG Master,36.93%,"2,886",0,17,329890
61,Gravity Sketch,69.88%,"2,792",6,28,551370
62,RutonyChat,74.72%,"2,755",363,784,524660
63,RPG in a Box,82.56%,"2,738",2,10,498310
64,Substance B2M3,78.45%,"2,661",0,20,325910
65,"Movavi Video Suite 18 - Video Making Software - Edit, Convert, Capture Screen, and more",75.36%,"2,570",51,261,973600
66,Bloodsports.TV,72.94%,"2,407",1,824,336420
67,Blocks by Google,79.94%,"2,309",0,111,533970
68,RainWallpaper,62.36%,"2,273",72,130,979560
69,Ultimate Grenade Tutorial - Hardsurface 3D Course,81.52%,"2,244",0,23,425680
70,GameMaker Studio 2 Mobile,68.83%,"2,234",24,42,585620
71,Kodon,69.57%,"2,232",0,10,479010
72,CopperCube 5 Game Engine,60.38%,"2,230",1,13,364970
73,3DF Zephyr Lite Steam Edition,82.56%,"2,162",3,18,438450
74,Tvori,68.39%,"2,099",0,11,517170
75,Substance Designer 2020,82.95%,"2,085",23,92,1194120
76,Esenthel Engine,54.84%,"2,071",0,10,366530
77,ePic Character Generator,79.41%,"2,050",2,21,408930
78,Girl Mod | GIRLS VR (create + pose in VR),48.75%,"2,028",0,4,879610
79,FaceFun,45.31%,"1,999",0,3,939920
80,SolidFace Parametric CAD Modeler 2D/3D,59.42%,"1,952",0,3,304970
81,Live3D - Comic & Animation & VTuber Maker - Virtual Production,39.06%,"1,907",2,26,908450
82,Facerig Studio for Individual Creators,43.95%,"1,855",0,10,571690
83,Live2D VR Girls,82.35%,"1,845",0,42,714100
84,Substance Designer 2018,76.65%,"1,836",4,69,746470
85,Multiplicity,45.98%,"1,773",0,12,620040
86,Microsoft Maquette,82.44%,"1,764",0,206,967490
87,Pixel FX Designer,72.47%,"1,747",6,11,939360
88,SpriteStack,64.74%,"1,698",1,20,1106180
89,Ultimate Live Wallpaper,42.60%,"1,668",8,76,1175390
90,"Movavi Video Suite 2020 Steam Edition - - Video Making Software - Edit, Convert, Capture Screen, and more",73.72%,"1,665",78,213,1182930
91,Blender Game Asset Creation,65.17%,"1,658",0,5,373020
92,Plastiland,62.67%,"1,645",0,54,421880
93,VTuber Maker,80.11%,"1,617",67,159,1368950
94,Movavi Video Editor 14 Plus,80.23%,"1,599",8,64,870420
95,DP Animation Maker,68.05%,"1,577",1,8,341960
96,RTS Creator,36.00%,"1,575",0,5,327490
97,IRFaceRig,50.82%,"1,550",0,11,377590
98,Ultimate Weapon Tutorial - Master 3D Course,80.51%,"1,498",0,15,423010
99,Qubicle Voxel Editor,61.91%,"1,455",5,28,454550
