,Name,Rating,Followers,Online,Peak,id
0,Stardew Valley,96.93%,"583,057","29,051","94,879",413150
1,My Time At Portia,91.04%,"176,513",964,"13,299",666140
2,Farming Simulator 19,91.78%,"142,342","15,600","59,466",787860
3,Farming Simulator 17,91.05%,"118,490",696,"32,313",447020
4,Forager,90.06%,"110,743",400,"13,438",751780
5,Farming Simulator 15,88.88%,"80,384",162,"18,711",313160
6,Spiritfarer®,93.22%,"75,677",293,"4,594",972660
7,Yonder: The Cloud Catcher Chronicles,79.32%,"66,756",12,"1,305",580200
8,Farm Together,91.62%,"62,501",672,"3,671",673950
9,Phantasy Star Online 2 New Genesis,74.58%,"62,085","3,765","59,558",1056640
10,Mr. Prepper,80.00%,"57,622",127,"6,911",761830
11,Staxel,77.09%,"47,128",63,"2,644",405710
12,Kynseed,84.56%,"46,254",36,433,758870
15,Ranch Simulator,80.61%,"35,837",697,"3,233",1119730
16,Littlewood,91.76%,"35,326",330,"1,678",894940
17,Sakuna: Of Rice and Ruin,89.46%,"32,540",65,"7,043",1356670
18,Ooblets,-,"27,782",0,2,593150
19,Sun Haven,84.10%,"27,615",166,"1,626",1432860
20,Farmer's Dynasty,76.14%,"26,125",53,"1,044",678900
21,SnowRunner,80.60%,"25,816","1,372","5,865",1465360
22,Stranded Sails - Explorers of the Cursed Islands,70.53%,"25,609",17,671,943260
23,STORY OF SEASONS: Friends of Mineral Town,90.97%,"25,266",158,"3,706",978780
24,Hokko Life,70.33%,"25,262",32,"1,020",824000
25,Cloud Meadow,78.53%,"25,010",89,527,1223750
27,Farm Manager 2021,72.67%,"21,118",131,"3,227",1123830
28,DORAEMON STORY OF SEASONS,80.34%,"20,627",18,"1,478",965230
29,Autonauts,86.37%,"20,041",123,"3,598",979120
31,Farm Manager 2018,69.28%,"19,125",74,"3,940",495560
32,Re:Legend,61.77%,"18,239",12,"2,589",823950
33,Mr. Prepper: Prologue,81.54%,"17,568",11,"1,089",1340530
34,Travellers Rest,87.87%,"16,965",78,684,1139980
38,Farming Simulator 2013 Titanium Edition,88.44%,"14,405",32,"4,639",220260
39,No Place Like Home,80.70%,"13,701",182,392,1472660
40,Garden Paws,87.04%,"13,467",75,340,840010
41,Summer in Mara,74.27%,"13,143",25,"1,003",962580
42,Professional Farmer: Cattle and Crops,72.15%,"12,173",17,"1,308",704030
44,Hundred Days - Winemaking Simulator,69.29%,"11,050",21,813,1042380
45,Turnip Boy Commits Tax Evasion,91.13%,"10,414",24,341,1205450
46,Farm Manager 2021: Prologue,73.11%,"10,410",6,748,1415410
47,Ragnorium,74.46%,"10,293",6,120,474020
48,Plantera,85.44%,"9,989",42,"1,937",421040
49,Winkeltje: The Little Shop,87.74%,"9,895",16,301,949290
50,Pure Farming 2018,69.33%,"9,545",8,"1,890",534370
51,Harvest Moon: Light of Hope Special Edition,74.13%,"9,498",25,556,585900
52,Dong-Jin Rice-hime（東津萌米）,84.58%,"9,208",0,85,617660
53,Touhou Mystia's Izakaya,92.93%,"7,848",20,664,1584090
54,Lawn Mowing Simulator,69.87%,"7,484","1,137","2,108",1480560
55,World's Dawn,76.66%,"7,316",4,265,432010
56,Atomicrops,88.49%,"7,086",100,563,757320
57,Green Project,82.18%,"6,739",33,407,1274490
58,Circadian City,72.49%,"6,243",1,83,1045430
59,Farmer's Life,64.03%,"5,947",124,417,1137750
61,Serin Fate,80.52%,"5,649",2,127,1070860
62,Big Farm Story,70.31%,"5,401",125,433,1329510
63,Fantasy Farming: Orange Season,84.35%,"5,287",6,30,416000
64,SUPER BUILD,80.08%,"5,195",0,29,1077530
65,Voodoo Garden,72.69%,"5,140",5,158,502770
67,Harvest Life,50.69%,"4,933",0,25,649790
69,Real Farm,42.46%,"4,376",2,37,573680
71,Gleaner Heights,68.28%,"4,340",0,187,786580
72,Lemon Cake,84.45%,"4,300",15,218,1338330
73,Alchemy Garden,74.37%,"4,282",7,32,935400
74,Summer in Mara Prologue,82.71%,"4,248",1,205,1318420
76,Pumpkin Days,79.39%,"3,897",26,478,618850
77,Terroir,69.19%,"3,747",0,55,559910
78,Verdant Skies,77.98%,"3,717",1,59,730050
82,Weed Shop 3,82.26%,"3,270",59,524,1182110
83,Vilmonic,70.13%,"3,254",1,11,458330
86,The Islander,68.32%,"3,103",0,35,715050
87,Warm Village 暖暖村物语,65.04%,"3,085",2,234,747850
88,Weed Shop 2,81.62%,"3,010",1,422,617700
90,My Singing Monsters,89.40%,"2,912",594,"1,103",1419170
91,PaperCraft,73.19%,"2,907",0,3,1543820
92,Alchemy Story,76.27%,"2,886",3,45,1040630
94,Farm for your Life,77.20%,"2,686",0,337,266390
95,Wild Season,38.81%,"2,678",0,52,328220
96,Luna's Fishing Garden,87.74%,"2,652",3,172,1477790
97,Desktop Farm,71.23%,"2,635",14,704,1357610
99,The Fisherman - Fishing Planet,61.99%,"2,549",36,644,1072480
