,Name,Rating,Followers,Online,Peak,id
0,ACE COMBAT™ 7: SKIES UNKNOWN,83.66%,"115,217",601,"13,758",502500
1,Project Wingman,91.29%,"45,197",159,"2,113",895870
2,Aerofly FS 2 Flight Simulator,74.93%,"17,879",32,109,434030
4,VTOL VR,92.92%,"11,931",71,217,667970
5,Combat Air Patrol 2: Military Flight Simulator,50.75%,"11,473",0,81,347170
6,Sky Rogue,86.95%,"8,205",2,107,381020
7,Iron Conflict,67.19%,"7,876",16,367,1371480
8,Aircraft Carrier Survival: Prologue,69.51%,"5,711",19,647,1493800
10,Red Wings: Aces of the Sky,70.51%,"3,177",5,"1,114",1140630
11,Jetman Go,73.43%,"3,004",0,13,665120
13,AFTERBURN,79.80%,"2,506",2,25,608120
14,I am an Air Traffic Controller 4,78.41%,"1,938",20,45,1348390
15,Furious Angels,81.04%,"1,673",1,16,551450
16,Raptor: Call of The Shadows - 2015 Edition,69.61%,"1,301",1,55,336060
19,Zero-G VR,65.12%,644,0,18,491520
21,Aggressor,58.14%,518,1,13,1619790
22,Thrust & Shoot : Flight School,67.93%,475,0,3,663100
23,Tower! 3D,56.60%,428,3,12,1278500
24,Skydrift Infinity,76.65%,335,4,17,827330
27,AIR Battlefront,30.56%,261,0,3,1067560
28,Space Elite Force,82.64%,254,0,5,855850
29,AIR WARS,55.69%,214,0,4,1210930
30,Helicopter Simulator 2020,-,206,0,1,1288040
31,Space War: Infinity,80.38%,182,0,4,1086160
32,Warplane inc.,72.42%,163,1,8,1578250
33,WeaponizedChess,-,152,0,2,400560
36,Space Elite Force II,81.04%,140,0,4,1204470
38,Air Combat XF,48.66%,125,0,3,991280
39,Massive Air Combat,44.31%,114,0,2,1040900
40,Frontiers Reach,64.08%,108,0,3,1467590
41,SkyGameChanger-AirCombat II-,40.03%,99,0,2,1012160
42,Space Explore,44.31%,80,0,2,1583190
43,Jetball,72.17%,71,0,11,666590
44,FlyManMissile,66.76%,66,0,2,1200290
46,Nano Fighter Anti Disease,67.06%,53,0,2,1537340
47,Kármán line: the edge of war,75.00%,51,0,3,1331120
48,Aero Battle,51.89%,44,0,2,1578550
49,Orbital Invaders,73.26%,44,0,2,1435660
50,River Attack,78.30%,43,0,3,1415630
51,Strike VR,70.84%,41,0,2,1394210
52,The last Baron's stunt (Anime),54.69%,41,0,2,801900
53,I'm Strongest Legend,57.76%,37,1,7,1672490
54,Broken Sky,70.57%,35,0,3,1439970
56,Snow Strike,50.00%,28,0,1,1468370
57,ZEROED,77.41%,26,0,7,1274970
59,Killing random dudes online,45.83%,25,0,4,949170
60,DARKAIR,-,24,0,1,1328590
61,JEFF-16,59.60%,23,0,1,1631400
62,Aircraft War,70.84%,21,0,2,1094630
63,AirFighter,70.57%,20,0,4,1686340
64,Fury Knight,44.31%,20,0,2,1393770
65,Starship Tunnel,45.83%,18,0,2,1527280
66,Space Force Squadron,64.08%,18,0,3,1439100
68,GravitreX Arcade,69.44%,17,0,4,1483610
69,Alien Cat 8,57.39%,17,0,1,1387870
72,Tunnel Blast,67.06%,14,0,1,1414550
73,Skyward Descent,59.60%,13,0,1,1625420
74,T. B. P.,64.08%,13,0,2,1533300
75,Celtreos,-,13,0,1,1065900
76,Meteor Genocide,40.58%,12,0,1,1673220
77,Battlegrounds : First Blast,50.00%,11,0,2,1688460
78,Pilot's Misadventures,64.08%,11,0,40,1566590
79,Watch Your Helmet,40.58%,10,0,1,1372260
80,Penguins vs. Bugs,55.69%,10,0,1,1131580
83,SAVE THE UNICORN,-,7,0,1,1686160
86,Antithesis,59.42%,4,0,2,1685010
90,ATC4: Airport NAHA [ROAH],-,-,-,-,1453720
91,Tower!3D - PHNL airport,-,-,-,-,1369100
92,Massive Air Combat - Purchase Privilege DLC,-,-,-,-,1149110
