,Name,Rating,Followers,Online,Peak,id
0,Dead Cells,95.35%,"285,544","3,598","13,802",588650
1,Vagante,87.30%,"44,914",144,518,323220
2,Sundered®: Eldritch Edition,80.07%,"35,378",26,708,535480
3,Rogue Legacy 2,85.13%,"27,698",209,"4,547",1253920
4,Rogue Legacy,91.16%,"24,910",72,"8,079",241600
5,Dark Devotion,74.70%,"21,092",11,512,718590
6,ScourgeBringer,87.06%,"20,572",15,380,1037020
7,Tower Hunter: Erza's Trial,74.49%,"17,148",16,288,844850
8,Ghost 1.0,87.66%,"14,605",3,422,463270
9,Abyss Odyssey,61.68%,"10,829",3,928,255070
10,Metal Unit,81.52%,"9,929",7,251,1173200
11,GetsuFumaDen: Undying Moon,71.98%,"7,997",43,662,1323470
12,StarBreak,74.63%,"4,992",35,810,420790
13,TOKOYO: The Tower of Perpetuity,84.47%,"4,071",8,169,1393420
14,Xenon Valkyrie,63.56%,"3,484",0,38,573780
15,Rising Hell,85.11%,"3,227",1,28,657000
16,Patch Quest,88.69%,"2,576",6,118,1347970
17,A Robot Named Fight!,84.41%,"2,475",3,100,603530
19,Outbreak: The Nightmare Chronicles,66.51%,"1,596",0,9,811720
20,Last Farewell,70.81%,"1,456",0,22,1234240
21,Aura of Worlds,82.73%,"1,342",0,4,841600
22,Boots Versus Plants,70.68%,"1,164",0,2,1475170
23,Nongunz: Doppelganger Edition,74.16%,"1,075",0,32,1304780
24,Rift Keeper,65.47%,"1,012",0,16,843360
25,Abalyte,66.12%,790,0,479,944120
26,SuperEpic: The Entertainment War,60.38%,736,0,11,1163560
27,A Valley Without Wind,57.45%,574,0,428,209330
28,The Guise,67.58%,547,0,12,1154680
30,The Revolt: Awakening,79.05%,405,0,5,736240
33,Maiden Maze,52.78%,255,0,3,1412030
34,Red Bit Ninja,32.82%,227,0,118,364900
36,Mezmeratu,62.10%,174,0,2,1325520
37,UNDERZONE,40.58%,170,0,2,1269510
38,CreatorCrate,67.06%,152,1,4,1027060
39,Weapon Hacker,81.03%,141,0,5,1090060
41,ReversEstory,74.03%,136,0,10,1524350
42,Block Dungeon,66.25%,123,0,10,1394720
44,Thalassophobia,54.48%,113,0,3,1534510
45,Dungeon Warriors,62.10%,105,0,2,1240530
46,The Portal Dimension - Bizarre Huntseeker,70.84%,100,0,2,968480
48,荣光的见证 Glory's Witness,69.44%,89,0,2,1505270
54,Taivas,40.58%,48,0,1,1388690
55,Jad,78.75%,47,0,4,1447060
56,Devil Edge,-,41,0,1,1468950
59,The Square Key,78.69%,30,0,6,1381880
62,Spinning_Kid,70.68%,23,0,5,1420950
63,Cosmophage,69.20%,22,0,2,1600700
66,My Wife,67.06%,10,0,2,1703120
70,The Rogue Cavern,50.00%,7,0,2,1314600
