,Name,Rating,Followers,Online,Peak,id
0,DOOM,93.94%,"327,579","1,637","44,271",379720
1,Devil May Cry 5,92.69%,"218,904",497,"88,894",601150
2,Phasmophobia,96.21%,"216,528","13,428","112,717",739630
3,DOOM Eternal,89.24%,"206,899","3,866","104,891",782330
4,Shadow Warrior 2,86.00%,"141,054",93,"12,634",324800
5,She Will Punish Them,90.23%,"86,348",506,"15,711",1213740
6,Helltaker,96.53%,"64,080",130,"6,509",1289310
7,Saints Row: Gat out of Hell,73.09%,"62,624",21,"5,827",301910
8,Agony,48.73%,"54,721",3,"2,845",487720
9,War for the Overworld,83.21%,"50,085",77,"2,227",230190
10,Book of Demons,88.13%,"41,818",22,"2,083",449960
11,Disgaea PC,84.93%,"40,997",71,"2,937",405900
12,Devil May Cry HD Collection,87.19%,"34,812",71,591,631510
13,Shadows: Awakening,73.92%,"33,333",12,902,585450
14,Shadow Warrior,90.65%,"33,294",41,"25,890",233130
15,DmC: Devil May Cry,91.56%,"32,797",47,"5,757",220440
16,Sakuna: Of Rice and Ruin,89.46%,"32,540",73,"7,043",1356670
17,Carnal Instinct,74.02%,"32,173",35,293,1495320
19,Monster Prom,90.42%,"29,236",75,"1,510",743450
20,Monster Train,94.05%,"27,112",751,"14,073",1102190
21,Sally Face - Episode One,93.42%,"26,602",159,"2,107",541570
22,Doom 3: BFG Edition,83.24%,"25,204",115,"1,091",208200
23,Zombie Army 4: Dead War,79.31%,"24,450",145,"3,352",694280
24,Shin Megami Tensei III Nocturne HD Remaster,82.71%,"18,719",120,"1,906",1413480
25,Last Year,59.67%,"18,521",15,"3,666",1195460
26,Darksiders Warmastered Edition,84.53%,"18,393",331,"2,904",462780
27,Ghost Hunters Corp,70.83%,"17,936",722,"3,791",1618540
28,Devil Daggers,92.27%,"17,817",24,358,422970
29,Pony Island,92.71%,"17,716",9,374,405640
31,Bound By Flame,65.88%,"15,977",2,"2,639",243930
32,BDSM: Big Drunk Satanic Massacre,85.03%,"15,791",1,78,669950
33,The Ditzy Demons Are in Love With Me,91.69%,"15,713",14,141,802870
35,HELLGATE: London,56.04%,"14,824",21,"1,336",939520
37,Onimusha: Warlords,88.64%,"14,590",4,526,761600
38,Kingdom Rush Vengeance - Tower Defense,91.85%,"14,464",140,"3,206",1367550
39,Painkiller Hell & Damnation,74.86%,"13,911",7,"1,928",214870
40,Last Evil,90.01%,"13,528",60,734,823910
41,Slain: Back from Hell,69.09%,"12,265",0,252,369070
42,Lucy Got Problems,85.38%,"12,177",1,97,879510
43,Evil Maze,72.12%,"11,991",0,"1,304",484950
44,"Warhammer 40,000: Inquisitor - Prophecy",76.42%,"11,884",112,"1,298",1042800
45,Agony UNRATED,64.16%,"11,882",7,522,879420
46,Ghosts 'n Goblins Resurrection,80.34%,"11,296",7,257,1375400
47,Hellbound: Survival Mode,83.50%,"11,208",0,136,802200
48,Project Warlock,85.12%,"11,013",21,365,893680
49,Devil May Cry 4,87.34%,"10,743",10,501,45700
50,Ultimate Doom,93.31%,"10,598",113,242,2280
52,SEUM: Speedrunners from Hell,90.59%,"9,744",15,852,457210
53,Tower and Sword of Succubus,82.95%,"9,474",9,313,1327080
54,Spooky Starlets: Movie Monsters,68.13%,"9,026",1,190,1101580
55,Hellbound,68.52%,"8,882",8,127,753590
58,Lucius II,59.99%,"8,355",5,335,296830
59,Devil May Cry® 3 Special Edition,58.68%,"8,282",9,145,6550
60,HellCat,78.71%,"7,993",0,11,864860
61,Vambrace: Cold Soul,63.01%,"7,469",2,394,904380
62,DOOM II,91.26%,"7,440",69,141,2300
63,Doorways: Holy Mountains of Flesh,77.01%,"7,205",0,467,383930
64,Sea Salt,78.05%,"7,172",1,92,983350
65,Devil's Hunt,42.09%,"7,029",6,120,887720
66,Seduce Me the Otome,82.73%,"6,945",9,238,367120
68,DOOM 3,85.91%,"6,427",46,560,9050
69,TSIOQUE,90.64%,"6,327",1,94,393190
70,Infliction,79.60%,"6,172",4,67,692100
71,DOOM 64,90.88%,"6,032",62,"1,257",1148590
73,Age of Fear 2: The Chaos Lord GOLD,77.56%,"4,821",2,68,341150
74,Final DOOM,81.50%,"4,731",8,35,2290
75,Melvor Idle,89.52%,"4,632","2,682","6,267",1267910
76,INFERNIUM,63.53%,"4,514",0,21,789950
77,Lucius III,53.33%,"4,420",2,109,513290
78,Silver Chains,70.75%,"4,343",1,127,975470
80,Outbreak: The New Nightmare,63.96%,"4,300",0,20,644480
81,Odallus: The Dark Call,84.48%,"4,285",0,171,319480
82,Werewolf: The Apocalypse — Heart of the Forest,79.95%,"4,264",6,304,1342620
83,Karos,57.46%,"4,226",101,220,337410
84,Panzer Paladin,69.94%,"3,943",10,106,975510
85,Starlight of Aeons,76.60%,"3,839",1,55,644200
86,Zavix Tower,70.79%,"3,733",0,152,427910
87,NightCry,58.95%,"3,573",0,90,427660
88,"The Princess, the Stray Cat, and Matters of the Heart",81.58%,"3,427",1,37,1010600
90,Darkestville Castle,85.99%,"3,271",0,29,689900
93,Tavern of Gods,74.69%,"3,243",0,563,1418020
94,Dark Fracture: Prologue,80.60%,"3,225",4,149,1389160
95,Rising Hell,85.11%,"3,222",2,28,657000
96,Conquer and Breed the Demon Queen,50.54%,"3,202",0,37,1462550
97,Doorways: Old Prototype,80.61%,"3,184",1,71,525780
98,The Textorcist: The Story of Ray Bibbia,80.44%,"3,155",2,385,940680
