,Name,Rating,Followers,Online,Peak,id
0,Stardew Valley,96.93%,"583,057","29,892","94,879",413150
1,Undertale,95.23%,"307,354",816,"10,484",391540
2,Crusader Kings III,91.87%,"178,033","12,057","98,872",1158310
3,鬼谷八荒,86.35%,"170,182","1,206","184,171",1468810
4,太吾绘卷 The Scroll Of Taiwu,80.33%,"146,037",277,"72,533",838350
5,DEAD OR ALIVE Xtreme Venus Vacation,80.53%,"139,994",971,"10,381",958260
6,Doki Doki Literature Club!,95.52%,"132,697",908,"7,402",698780
7,Mirror,95.43%,"126,433",252,"7,565",644560
8,Sword Art Online: Hollow Realization Deluxe Edition,79.04%,"105,291",54,"3,254",607890
9,House Party,86.30%,"97,572",227,"1,074",611790
10,NEKOPARA Vol. 1,93.39%,"83,447",74,487,333600
11,STEINS;GATE,94.62%,"82,691",56,"1,238",412830
12,Chinese Parents,89.77%,"82,457",91,"32,593",736190
13,Yakuza 0,92.61%,"77,091","1,195","8,985",638970
14,Persona 4 Golden,95.36%,"76,996","1,752","29,984",1113000
15,AI＊Shoujo/AI＊少女,74.01%,"72,519",55,599,1250650
16,VR Kanojo / VRカノジョ,74.47%,"64,162",4,66,751440
17,Helltaker,96.53%,"64,080",151,"6,509",1289310
18,Everlasting Summer,93.96%,"63,263",816,"1,823",331470
19,SENRAN KAGURA ESTIVAL VERSUS,91.42%,"61,014",23,"1,088",502800
20,コイカツ！ / Koikatsu Party,89.76%,"58,935",189,367,1073440
21,Danganronpa V3: Killing Harmony,84.12%,"57,127",361,"4,691",567640
22,Fate/EXTELLA,88.91%,"55,901",9,"2,946",511680
23,NEKOPARA Vol. 3,94.32%,"52,580",18,"2,571",602520
24,隐形守护者 The Invisible Guardian,84.45%,"52,413",23,"82,345",998940
25,Monster Girl Island: Prologue,93.74%,"51,807",63,"1,538",943700
27,NEKOPARA Vol. 2,94.43%,"51,636",18,"1,228",420110
28,HuniePop,94.23%,"49,398",196,"3,018",339800
29,SENRAN KAGURA SHINOVI VERSUS,90.92%,"48,522",3,"1,048",411830
30,Tricolour Lovestory,89.11%,"46,062",30,"2,733",668630
31,CLANNAD,94.74%,"46,013",33,312,324160
32,Danganronpa 2: Goodbye Despair,94.28%,"45,122",459,"1,869",413420
33,AKIBA'S TRIP: Undead ＆ Undressed,83.75%,"44,805",11,507,333980
34,The Legend of Heroes: Trails of Cold Steel,91.80%,"44,234",133,"1,628",538680
35,Dream Daddy: A Dad Dating Simulator,87.84%,"44,137",29,"14,471",654880
39,NEKOPARA Vol. 0,91.74%,"35,604",27,960,385800
40,Doki Doki Literature Club Plus!,93.01%,"35,553",349,"8,662",1388880
41,港詭實錄ParanormalHK,87.19%,"35,376",22,"1,221",1178490
42,河洛群俠傳 (Ho Tu Lo Shu ： The Books of Dragon),77.50%,"33,732",90,"1,877",952860
43,Material Girl,89.13%,"33,329",11,"3,167",644570
44,Gaokao.Love.100Days,91.77%,"32,704",3,456,347620
45,侠客风云传(Tale of Wuxia),75.97%,"32,595",62,963,377530
46,Lucy -The Eternity She Wished For-,92.05%,"32,283",5,193,430960
47,Sakura Dungeon,87.08%,"32,148",37,551,407330
48,天命奇御 Fate Seeker,88.50%,"31,929",30,"16,413",882790
49,Shining Resonance Refrain,68.74%,"31,443",9,427,809890
50,Dark Elf,85.98%,"29,980",10,"1,263",665180
51,Monster Prom,90.42%,"29,236",68,"1,510",743450
53,Fairy Fencer F Advent Dark Force,81.46%,"28,306",10,971,524580
54,Sakura Swim Club,82.73%,"28,168",5,234,402180
55,Sakura Angels,80.82%,"28,146",1,309,342380
56,If My Heart Had Wings,88.66%,"27,726",13,239,326480
57,Sun Haven,84.10%,"27,615",172,"1,626",1432860
58,Tayutama 2-you're the only one-,91.48%,"27,027",2,155,552280
59,Our End of the World,77.09%,"26,431",3,720,703700
60,Gal*Gun: Double Peace,82.80%,"25,662",2,218,511740
61,The Fruit of Grisaia,88.04%,"25,602",10,138,345610
62,STORY OF SEASONS: Friends of Mineral Town,90.97%,"25,266",153,"3,706",978780
63,雀魂麻將(MahjongSoul),68.74%,"25,218","1,112","13,679",1329410
