,Name,Rating,Followers,Online,Peak,id
0,Skater XL - The Ultimate Skateboarding Game,83.93%,"37,532",534,"5,741",962730
1,Session: Skateboarding Sim Game,83.61%,"21,785",102,"1,356",861650
2,Jet Set Radio,84.49%,"6,801",19,"2,065",205950
4,Sprint Vector,79.77%,"3,536",0,111,590690
5,Pogostuck: Rage With Your Friends,81.13%,"3,358",121,674,688130
6,RAWMEN,-,"2,564",0,1,782940
7,OlliOlli2: Welcome to Olliwood,78.61%,"2,507",1,118,365660
8,Tanuki Sunset,86.49%,"2,112",1,75,1251460
9,Wave Break,80.18%,"2,101",1,42,761010
10,Neon Tail,79.22%,"2,034",0,24,1126270
11,The Ramp,89.71%,"1,823",9,110,1506510
12,OlliOlli,74.97%,"1,424",1,271,274250
13,BMX The Game,65.68%,"1,210",4,112,987150
14,Wild Dive,82.53%,779,3,167,1598010
15,Skate City,74.81%,749,1,46,1361670
16,Crash Drive 3,82.44%,518,3,24,346820
17,Flying Sword,77.99%,381,0,6,1144860
20,Rocket Skates VR,80.69%,130,0,11,1535200
21,Magic Trick,76.34%,65,0,2,1394320
23,Dr. Tacocat,62.51%,48,0,2,1114630
25,A Week In The Cold,59.42%,23,0,2,1257000
27,clown town 1443,78.30%,19,0,3,1602330
28,Escape of Mari: The Polar Ladybug,-,13,0,2,1251950
