,Name,Rating,Followers,Online,Peak,id
0,PAYDAY 2,87.79%,"7,544,201","24,697","247,709",218620
1,Counter-Strike: Global Offensive,87.73%,"2,944,662","521,554","1,308,963",730
2,PUBG: BATTLEGROUNDS,54.52%,"2,847,944","100,802","3,257,248",578080
3,Dota 2,83.55%,"1,887,003","383,929","1,295,114",570
4,Dead by Daylight,81.53%,"1,298,168","57,307","105,093",381210
5,Tom Clancy's Rainbow Six® Siege,87.10%,"1,132,788","47,172","201,053",359550
6,Mount & Blade II: Bannerlord,86.17%,"737,748","13,048","248,216",261550
7,Sid Meier’s Civilization® VI,81.65%,"616,045","30,930","162,657",289070
8,Arma 3,89.33%,"610,379","17,119","56,679",107410
9,Cities: Skylines,91.95%,"579,631","12,362","60,386",255710
10,Battlerite,83.09%,"526,206",383,"45,145",504370
11,Don't Starve Together,95.13%,"505,458","12,300","68,418",322330
12,Squad,86.61%,"497,710","5,637","15,338",393380
13,RimWorld,96.82%,"464,522","33,673","50,907",294100
14,Total War: THREE KINGDOMS,69.70%,"461,869","3,085","192,298",779340
15,The Long Dark,89.86%,"460,431","1,323","14,433",305620
16,Divinity: Original Sin 2 - Definitive Edition,94.75%,"455,425","8,640","93,701",435150
17,Raft,91.48%,"452,909","5,857","42,288",648800
18,Counter-Strike: Source,94.77%,"435,159","4,111","100,056",240
19,Stellaris,86.01%,"407,722","12,517","68,602",281990
20,Tom Clancy's Ghost Recon® Wildlands,76.83%,"394,459","1,024","45,704",460930
21,7 Days to Die,86.21%,"385,713","19,143","47,025",251570
22,Total War: WARHAMMER II,92.11%,"379,908","25,953","84,920",594570
23,Call of Duty®: Modern Warfare® 2,90.98%,"378,221",405,"22,614",10180
24,theHunter: Call of the Wild™,84.57%,"356,627","2,463","18,081",518790
25,This War of Mine,93.16%,"344,261",665,"9,503",282070
26,Paladins®,85.03%,"331,872","10,440","60,743",444090
27,Frostpunk,89.70%,"331,686","6,024","29,361",323190
28,Stranded Deep,75.03%,"331,496",544,"6,036",313120
29,Factorio,97.37%,"331,424","12,526","34,700",427520
30,Oxygen Not Included,94.72%,"330,996","7,776","27,486",457140
31,Total War: WARHAMMER,76.75%,"323,369",806,"113,019",364360
32,World of Warships,80.32%,"321,709","5,822","379,096",552990
33,Darkest Dungeon®,89.51%,"302,542","4,276","19,357",262060
34,Northgard,86.40%,"301,336","2,265","15,592",466560
35,Space Engineers,87.12%,"301,241","7,905","23,888",244850
36,Totally Accurate Battle Simulator,96.25%,"296,159","2,186","13,674",508440
37,Elite Dangerous,76.49%,"294,215","4,773","28,923",359320
38,Middle-earth™: Shadow of War™,85.06%,"290,587","2,264","68,183",356190
39,Heroes & Generals,67.21%,"287,451","1,744","21,026",227940
40,XCOM® 2,83.18%,"285,411","5,640","133,022",268500
41,Besiege,93.79%,"281,869",271,"11,206",346010
42,Kerbal Space Program,93.10%,"275,856","3,853","19,149",220200
43,Planet Coaster,89.16%,"274,862","2,071","21,971",493340
44,Hearts of Iron IV,90.59%,"272,158","31,447","46,806",394360
45,Insurgency,90.40%,"271,988",673,"121,575",222880
46,Minion Masters,90.06%,"265,476",866,"10,329",489520
47,Evolve Stage 2,67.03%,"263,159",14,"51,127",273350
48,Black Squad,75.99%,"260,757","1,199","15,939",550650
49,FOR HONOR™,66.32%,"256,503","4,055","225,831",304390
