,title,lead,time
0,Officielt: Tottenham skriver med Romero,"Tidligere fredag købte Atalanta 23-årige Cristian Romero fri i Juventus, og nu har Serie A-klubben solgt forsvareren videre til engelske Tottenham.",2021-08-06 21:18
1,LIVE: FC Midtjylland foran 1-0 ved pausen,"FC Midtjylland er ramt af adskillige afbud, når Vejle fredag aften kommer på besøg i Superligaen.",2021-08-06 21:17
2,McCowatt sørgede for smal Helsingør-sejr,På et mål af Callum McCowatt i anden halvleg sikrede FC Helsingør en 1-0-sejr på udebane over AC Horsens i 1. Division. Dermed er Helsingør fortsat øverst i tabellen.,2021-08-06 20:54
3,Hvidovre tildelte Fremad Amager nyt nederlag,"På en hæsblæsende første halvleg fik Hvidovre IF sikret en 3-0-sejr i 1. Division over Fremad Amager, der nu er uden point efter sæsonens første tre kampe.",2021-08-06 20:36
4,Silkeborg tog sikker sejr i oprykkerduellen,"Sebastian Jørgensen, Nicolai Vallys og Alexander Lind sørgede for Silkeborgs mål, da Viborg FF fredag blev slået i 3F Superligaens oprykkerduel, der sender Silkeborg op i tabellens øvre halvdel.",2021-08-06 20:25
5,SLUT: Silkeborg - Viborg minut for minut,Silkeborg har spillet 0-0 i alle Superliga-kampe i denne sæson og tager fredag imod ligaens anden oprykker Viborg.,2021-08-06 20:23
6,Ansu Fati forventes klar til kamp i september,"FC Barcelonas Ansu Fati er på vej tilbage efter en slem skade i menisken, der har holdt kantspilleren ude siden november måned. Ifølge spanske Sport satser Barcelona på et comeback i september.",2021-08-06 19:59
7,FCM skifter tre - Vejle uden ændringer,"Bo Henriksen har fundet plads til blandt andre Nikolas Dyhr i startopstillingen mod Vejle Boldklub, som stiller op uden ændringer i forhold til sidste kamp.",2021-08-06 19:34
8,West Bromwich sender kant til Saudi-Arabien,Championship-klubben West Bromwich har solgt brasilianske Matheus Pereira til den saudi-arabiske klub Al Hilal.,2021-08-06 19:11
9,Medie: Rostov dropper Andreas Maxsø,"Det russiske medie Eurostavka skriver, at FK Rostov har droppet at hente danske Andreas Maxsø, da klubbens nye cheftræner har foretrukket Bastos til forsvaret.",2021-08-06 18:49
