id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
0;download_jobposting;requests;1628109484.2409282;-0.1028437614440918;https://job.jobnet.dk/CV/FindWork?Offset=3000&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork?Offset=3000&SortValue=BestMatch;21488;200;True;
1;download_jobposting;requests;1628109718.5626786;-0.07243561744689941;https://job.jobnet.dk/CV/FindWork?Offset=1020&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork?Offset=1020&SortValue=BestMatch;21488;200;True;
2;download_jobposting;requests;1628109875.2423239;-0.06801915168762207;https://job.jobnet.dk/CV/FindWork?Offset=1180&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork?Offset=1180&SortValue=BestMatch;21488;200;True;
3;download_jobposting;requests;1628109881.589254;-0.017162084579467773;https://job.jobnet.dk/CV/FindWork?Offset=12420&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork?Offset=12420&SortValue=BestMatch;21489;200;True;
4;download_jobposting;requests;1628109986.363091;-0.018674373626708984;https://job.jobnet.dk/CV/FindWork?Offset=4400&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork?Offset=4400&SortValue=BestMatch;21488;200;True;
5;download_jobposting;requests;1628147584.4713407;-0.20813751220703125;https://job.jobnet.dk/CV/FindWork?Offset=9100&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork?Offset=9100&SortValue=BestMatch;21488;200;True;
6;download_jobposting;requests;1628147939.2689812;-0.140305757522583;https://job.jobnet.dk/CV/FindWork?Offset=10580&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork?Offset=10580&SortValue=BestMatch;21489;200;True;
7;jobnet;requests;1628242001.8719046;-0.5127425193786621;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch;115706;200;True;
8;jobnet;requests;1628242762.2049012;-0.3599250316619873;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch;115719;200;True;
9;jobnet;requests;1628242834.5843103;-0.37111783027648926;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch;115719;200;True;
10;jobnet;requests;1628242842.2992737;-0.2505836486816406;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch;115719;200;True;
2;jobnet;requests;1628242917.6780288;-0.36312103271484375;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch;115758;200;True;
3;jobnet;requests;1628242927.055541;-0.2469615936279297;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch;116014;200;True;
4;jobnet-mapping;requests;1628243069.036483;-0.3224661350250244;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch;116049;200;True;
5;jobnet-mapping;requests;1628243290.527655;-0.39953184127807617;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch;116189;200;True;
6;jobnet-mapping;requests;1628243304.3033798;-0.23593902587890625;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch;116189;200;True;
