,title,lead,time
0,SIF har Helenius og Marcussen med mod VFF,Silkeborg har både Nicklas Helenius og Gustav Marcussen med i truppen til fredagens kamp mod Viborg.,2021-08-06 11:15
1,Vejle har en enkelt trupændring før FCM,"Vejles Lundrim Hetemi er med i truppen til kampen mod FC Midtjylland, og han erstatter Valdemar Sadrifar.",2021-08-06 10:55
2,FCM er uden corona-smittede og Juninho,"FC Midtjylland er mod Vejle fortsat uden fem spillere, som alle er testet positiv for corona, samt Juninho som har karantæne.",2021-08-06 10:43
3,Vejle-boss vil lukke ned for tre FCM-styrker,"Vejles Carit Falch udpeger tre styrker, som FC Midtjylland ofte vinder sine kampe på, og som Vejle derfor skal have styr på i fredagens kamp.",2021-08-06 10:38
4,Brøndby-es glæder sig til BIF-fans i Parken,"Brøndbys Mikael Uhre glæder sig til søndagens derby i Parken, hvor der igen må være Brøndby-fans på tribunerne til kampen.",2021-08-06 10:23
5,PSG sender målmandsreserve til Nice,"PSG meddeler, at klubbens unge målmand Marcin Bulka lejes ud til Nice for resten af sæsonen. Nice får en købsoption med i aftalen.",2021-08-06 10:05
6,Grealish hylder De Bruyne: Top tre i verden,"Manchester Citys Jack Grealish ser frem til at spille sammen med Kevin De Bruyne, som han anser som en af de tre bedste spillere i verden.",2021-08-06 09:49
7,Vieira krydser fingre: Vil holde på Zaha,"Crystal Palaces nye manager Patrick Vieira håber på at holde på Wilfried Zaha, som meldes på vej væk fra klubben igen denne sommer.",2021-08-06 09:27
8,Delt Thorup: Tilfreds - men fortjente sejren,"FC København-træner Jess Thorup var tilfreds med præstationen i 1-1-kampen mod Lokomotiv Plovdiv, men føler, at han mandskab fortjente sejren.",2021-08-06 09:05
9,Solskjær: Har kun positive snakke med Pogba,"Paul Pogbas kontrakt med Manchester United udløber om et år, men samtalerne mellem ham og manager Ole Gunnar Solskjær har været positive.",2021-08-06 08:45
