id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
0;jobnet_mapping;requests;1628242775.8397214;-0.47284555435180664;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;117537;200;True;
1;jobnet_mapping;requests;1628242927.5866327;-0.5081126689910889;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;117538;200;True;
2;jobnet_mapping;requests;1628242965.7029006;-0.43878817558288574;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;117538;200;True;
3;jobnet_mapping;requests;1628242994.7220652;-0.35393667221069336;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;117538;200;True;
4;jobnet_mapping;requests;1628243004.977553;-0.34886813163757324;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;117538;200;True;
5;jobnet_mapping;requests;1628243035.633469;-0.31769442558288574;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;117538;200;True;
6;jobnet_mapping;requests;1628243036.4585624;-0.3200819492340088;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;117538;200;True;
7;jobnet_mapping;requests;1628243064.1623402;-0.3790431022644043;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;117538;200;True;
8;jobnet_mapping;requests;1628243065.0498335;-0.3858170509338379;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;117538;200;True;
9;jobnet_mapping;requests;1628243077.6996808;-0.4068632125854492;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;117538;200;True;
10;jobnet_mapping;requests;1628243078.608552;-0.30402445793151855;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;117538;200;True;
11;jobnet_mapping;requests;1628243226.6762948;-0.4583113193511963;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;117538;200;True;
12;jobnet_mapping;requests;1628243253.99677;-0.45898938179016113;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;117538;200;True;
13;jobnet_mapping;requests;1628243286.899234;-0.42569494247436523;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;117538;200;True;
2;jobnet_mapping;requests;1628243367.5191429;-0.44091200828552246;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;https://job.jobnet.dk/CV/FindWork/Search?Offset=0&SortValue=BestMatch&SearchString=data;117538;200;True;
