0,1,2,3
ASN00014016,18700101,PRCP,51
ASN00021014,18700101,PRCP,0
ASN00022801,18700101,PRCP,0
ASN00023000,18700101,PRCP,0
ASN00026005,18700101,PRCP,0
ASN00026020,18700101,PRCP,0
ASN00026026,18700101,PRCP,0
ASN00040214,18700101,PRCP,0
ASN00055020,18700101,PRCP,0
ASN00056207,18700101,PRCP,0
ASN00061055,18700101,PRCP,0
ASN00063004,18700101,PRCP,0
ASN00066007,18700101,PRCP,0
ASN00066062,18700101,TMAX,271
ASN00066062,18700101,TMIN,176
ASN00066062,18700101,PRCP,0
ASN00067015,18700101,PRCP,0
ASN00068066,18700101,PRCP,0
ASN00068140,18700101,PRCP,0
ASN00069015,18700101,PRCP,0
ASN00071010,18700101,PRCP,0
ASN00074124,18700101,PRCP,0
ASN00074128,18700101,TMAX,411
ASN00074128,18700101,TMIN,183
ASN00074128,18700101,PRCP,0
ASN00075048,18700101,PRCP,0
ASN00075080,18700101,PRCP,0
ASN00079042,18700101,PRCP,0
ASN00081003,18700101,PRCP,0
ASN00081022,18700101,PRCP,0
ASN00082051,18700101,PRCP,0
ASN00084016,18700101,PRCP,0
ASN00086071,18700101,TMAX,233
ASN00086071,18700101,TMIN,117
ASN00086071,18700101,PRCP,0
ASN00086079,18700101,PRCP,0
ASN00086085,18700101,PRCP,0
ASN00088020,18700101,PRCP,0
ASN00089000,18700101,PRCP,0
ASN00089049,18700101,PRCP,0
ASN00090015,18700101,TMAX,200
ASN00090015,18700101,TMIN,106
AU000005901,18700101,TMAX,-9
AU000005901,18700101,TMIN,-43
BE000006447,18700101,TMAX,72
BE000006447,18700101,TMIN,12
CA006101872,18700101,TMAX,-50
CA006101872,18700101,TMIN,-94
CA006101872,18700101,PRCP,0
CA006101872,18700101,SNOW,0
CA006106362,18700101,TMAX,-39
CA006106362,18700101,TMIN,-106
CA006106362,18700101,PRCP,191
CA006106362,18700101,SNOW,127
CA006110549,18700101,TMAX,0
CA006110549,18700101,TMIN,-44
CA006110549,18700101,PRCP,0
CA006110549,18700101,SNOW,0
CA006122845,18700101,TMAX,28
CA006122845,18700101,TMIN,-22
CA006137735,18700101,TMAX,33
CA006137735,18700101,TMIN,-6
CA006137735,18700101,PRCP,76
CA006137735,18700101,SNOW,76
CA006139520,18700101,TMAX,22
CA006139520,18700101,TMIN,0
CA006139520,18700101,PRCP,381
CA006139520,18700101,SNOW,381
CA006148100,18700101,TMAX,6
CA006148100,18700101,TMIN,-44
CA006148100,18700101,PRCP,0
CA006148100,18700101,SNOW,0
CA006150689,18700101,TMAX,-11
CA006150689,18700101,TMIN,-44
CA006150689,18700101,PRCP,0
CA006150689,18700101,SNOW,0
CA006153192,18700101,TMAX,28
CA006153192,18700101,TMIN,-44
CA006153192,18700101,PRCP,0
CA006153192,18700101,SNOW,0
CA006158350,18700101,TMAX,28
CA006158350,18700101,TMIN,-11
CA006158350,18700101,PRCP,102
CA006158350,18700101,SNOW,102
CA006166416,18700101,TMAX,0
CA006166416,18700101,TMIN,-78
CA006166416,18700101,PRCP,0
CA006166416,18700101,SNOW,0
CA007023240,18700101,PRCP,0
CA007023240,18700101,SNOW,0
CA008205698,18700101,TMAX,17
CA008205698,18700101,TMIN,-50
CA008205698,18700101,PRCP,0
CA008205698,18700101,SNOW,0
CE000043497,18700101,TMAX,278
CE000043497,18700101,TMIN,227
CE000434730,18700101,TMAX,183
CE000434730,18700101,TMIN,130
EI000003969,18700101,TMAX,86
EI000003969,18700101,TMIN,44
EI000003969,18700101,PRCP,27
EIE00101859,18700101,TMAX,83
EIE00101859,18700101,TMIN,44
EIE00101859,18700101,PRCP,0
ENE00175063,18700101,PRCP,0
EZE00100082,18700101,TMAX,-11
EZE00100082,18700101,TMIN,-52
EZE00100082,18700101,PRCP,0
GME00122374,18700101,PRCP,10
GME00122374,18700101,SNWD,70
GME00125218,18700101,TMAX,24
GME00125218,18700101,TMIN,-55
GME00125218,18700101,PRCP,0
GME00125218,18700101,SNWD,0
HR000142360,18700101,PRCP,0
HRE00105189,18700101,PRCP,0
ITE00100550,18700101,TMAX,38
ITE00100550,18700101,TMIN,-47
ITE00100550,18700101,PRCP,0
ITE00100552,18700101,PRCP,47
ITE00100553,18700101,PRCP,0
ITE00100554,18700101,TMAX,12
ITE00100554,18700101,TMIN,-21
ITE00100554,18700101,PRCP,0
ITE00105250,18700101,PRCP,0
NLE00100499,18700101,PRCP,9
NLE00100503,18700101,PRCP,27
NLE00100510,18700101,PRCP,12
NLE00101991,18700101,PRCP,0
NLE00102079,18700101,PRCP,37
NLM00006235,18700101,PRCP,5
SF000208660,18700101,PRCP,0
SF000847010,18700101,PRCP,0
SW000002196,18700101,PRCP,0
SW000002361,18700101,PRCP,0
SW000002590,18700101,PRCP,0
SW000010537,18700101,PRCP,0
SWE00100003,18700101,PRCP,0
SWE00100026,18700101,PRCP,0
SWE00137568,18700101,PRCP,0
SWE00137832,18700101,PRCP,0
SWE00138212,18700101,PRCP,0
SWE00138464,18700101,PRCP,99
SWE00138488,18700101,PRCP,2
SWE00139044,18700101,PRCP,0
SWE00140186,18700101,PRCP,0
SWE00140492,18700101,PRCP,0
SWM00002485,18700101,PRCP,0
SZ000006717,18700101,TMAX,-39
SZ000006717,18700101,TMIN,-82
UK000047811,18700101,TMAX,61
UK000047811,18700101,TMIN,29
UK000047811,18700101,PRCP,19
UK000056225,18700101,TMAX,94
UK000056225,18700101,TMIN,67
UK000056225,18700101,PRCP,3
USC00023096,18700101,PRCP,0
USC00043157,18700101,TMAX,-6
USC00043157,18700101,TMIN,-133
USC00043157,18700101,PRCP,0
USC00053010,18700101,PRCP,0
USC00064757,18700101,PRCP,0
USC00064767,18700101,PRCP,0
USC00090840,18700101,PRCP,0
USC00134049,18700101,PRCP,0
USC00144559,18700101,PRCP,0
USC00264939,18700101,PRCP,0
USC00271682,18700101,TMAX,89
USC00271682,18700101,TMIN,-56
USC00271682,18700101,PRCP,51
USC00271682,18700101,SNOW,51
USC00288878,18700101,TMAX,78
USC00288878,18700101,TMIN,6
USC00288878,18700101,PRCP,0
USC00288878,18700101,SNOW,0
USC00298072,18700101,PRCP,0
USC00300958,18700101,PRCP,0
USC00310288,18700101,PRCP,0
USC00318500,18700101,PRCP,25
USC00361234,18700101,PRCP,0
